,question,answer,tokens_present,document
0,What is the purpose of the Inherent Risk Assessment (IRA) Guide?,The purpose of the IRA Guide is to describe the process used by Compliance Enforcement Authorities (CEAs) to assess the inherent risk of registered entities and to serve as a common approach for NERC and the eight Regional Entities for implementing and performing an IRA.,"['IRA', 'Guide', 'process', 'assess', 'risk', 'entities']",Inherent_Risk_Assessment.pdf
1,What is the definition of inherent risk in the context of the IRA Guide?,Inherent risk refers to the potential risks posed by an individual registered entity to the reliability of the bulk power system (BPS).,"['inherent risk', 'bulk power system', 'BPS']",Inherent_Risk_Assessment.pdf
2,What are the major inputs into the IRA process?,The major inputs into the IRA process are risk element inputs and understanding the registered entity.,"['risk', 'element', 'inputs', 'registered', 'entity']",Inherent_Risk_Assessment.pdf
3,What are risk element inputs?,"Risk element inputs refer to the outputs from the risk elements, which are assets, systems, geography, interconnectivity, prior compliance history, and overall unique entity composition.","['assets', 'systems', 'geography', 'interconnectivity', 'prior compliance history', 'overall unique entity composition']",Inherent_Risk_Assessment.pdf
4,What is the role of the IRA in the Risk-Based Compliance Oversight Framework?,The IRA is a key input into development of each compliance oversight plan for a registered entity within the Risk-Based Compliance Oversight Framework.,"['IRA', 'compliance', 'oversight', 'framework']",Inherent_Risk_Assessment.pdf
5,How often is the IRA performed?,"The IRA is performed on a periodic basis, with the frequency based on a variety of factors including, but not limited to, changes to a registered entity, significant changes to reliability risks, or emergence of new reliability risks.","['periodic', 'basis', 'frequency']",Inherent_Risk_Assessment.pdf
6,What is the purpose of the IRA results documentation?,"The purpose of the IRA results documentation is to provide a record of the IRA process, including the methodology used, the data collected, and the results of the assessment.","['IRA', 'process', 'methodology', 'data', 'results', 'assessment']",Inherent_Risk_Assessment.pdf
7,How are IRA results shared with the registered entity?,IRA results are shared with the registered entity through a report that summarizes the findings and recommendations of the assessment.,"['IRA', 'results', 'shared', 'report', 'findings', 'recommendations', 'assessment']",Inherent_Risk_Assessment.pdf
8,What is the relationship between the IRA and the Internal Controls Evaluation (ICE)?,"The IRA results are a key input source to the ICE, if used, and in determining an overall compliance oversight plan for a registered entity.","['IRA', 'ICE']",Inherent_Risk_Assessment.pdf
9,What is the significance of the IRA in the compliance oversight process?,The IRA is a critical component of the compliance oversight process as it helps CEAs identify areas of focus and the level of effort needed to monitor compliance with enforceable NERC Reliability Standards.,"['IRA', 'compliance', 'oversight', 'NERC', 'Reliability', 'Standards']",Inherent_Risk_Assessment.pdf
10,What is the purpose of the IRA according to the text?,The purpose of the IRA is to assess the inherent risks to the reliability of the BPS and to identify areas of focus for compliance oversight.,"['IRA', 'risks', 'reliability', 'BPS', 'compliance', 'oversight']",Inherent_Risk_Assessment.pdf
11,What are the two major inputs into the IRA process?,The two major inputs into the IRA process are risk element inputs and understanding the registered entity.,"['risk', 'element', 'inputs', 'understanding', 'registered', 'entity']",Inherent_Risk_Assessment.pdf
12,What is the role of the ERO Enterprise in the IRA process?,The ERO Enterprise assesses risks to the reliability of the BPS and develops a Risk Elements Guide that describes the process for identifying risks and mapping associated registration functional categories and Reliability Standards.,"['ERO', 'Enterprise', 'risks', 'reliability', 'BPS', 'Risk', 'Elements', 'Guide']",Inherent_Risk_Assessment.pdf
13,What is the purpose of the annual ERO CMEP Implementation Plan?,"The annual ERO CMEP Implementation Plan identifies specific ERO Enterprise risks to the reliability of the BPS, associated Reliability Standards and Requirements, and regional risk considerations.","['ERO', 'BPS', 'Reliability', 'Standards', 'Requirements']",Inherent_Risk_Assessment.pdf
14,What is the importance of understanding the registered entity in the IRA process?,"Understanding the registered entity is an essential aspect of the IRA process, and the CEA should conduct activities to gain an understanding of the registered entity and its operations.","['understanding', 'registered', 'entity', 'IRA', 'process', 'CEA']",Inherent_Risk_Assessment.pdf
15,What are some activities that the CEA should conduct to gain an understanding of the registered entity?,"Some activities that the CEA should conduct to gain an understanding of the registered entity include gathering and maintaining registered entity specific information and data, proactively identifying risk trends and prevalent practices, and establishing qualitative and quantitative risk factors.","['gathering', 'maintaining', 'proactively', 'identifying', 'establishing']",Inherent_Risk_Assessment.pdf
16,What is the purpose of the IRA output?,The IRA output should be used as a key input when developing the compliance oversight plan for a registered entity.,"['compliance', 'oversight', 'plan', 'registered', 'entity']",Inherent_Risk_Assessment.pdf
17,What is the role of professional judgment in the IRA process?,Professional judgment should be applied during the IRA process and documented to support the conclusions reached.,"['professional judgment', 'IRA process', 'conclusions']",Inherent_Risk_Assessment.pdf
18,What is the purpose of the Information Gathering phase in the IRA process?,"The purpose of the Information Gathering phase is to identify, collect, and analyze information about a particular registered entity.","['identify', 'collect', 'analyze', 'registered', 'entity']",Inherent_Risk_Assessment.pdf
19,What is the outcome of the Information Gathering phase?,The outcome of the Information Gathering phase is to provide a reasonable basis for a conclusion regarding the registered entity's inherent risks and areas of focus for compliance oversight.,"['reasonable', 'basis', 'conclusion', 'inherent', 'risks', 'areas', 'focus', 'compliance', 'oversight']",Inherent_Risk_Assessment.pdf
20,What is the purpose of the IRA process?,The purpose of the IRA process is to assess the inherent risk of a registered entity's operations and identify potential reliability risks to the Bulk Power System (BPS).,"[""The purpose of the IRA process is to assess the inherent risk of a registered entity's operations and identify potential reliability risks to the Bulk Power System (BPS).""]",Inherent_Risk_Assessment.pdf
21,What are the three key inputs for the Information Gathering phase of the IRA process?,"The three key inputs for the Information Gathering phase are: (1) prioritized list of known risks to the reliability of the BPS and associated Reliability Standards and Requirements, (2) understanding of the registered entity and its operations, and (3) information attributes lists and their common sources.","['prioritized', 'list', 'known', 'risks', 'reliability', 'BPS', 'associated', 'Reliability', 'Standards', 'Requirements', 'understanding', 'registered', 'entity', 'operations', 'information', 'attributes', 'lists', 'common', 'sources']",Inherent_Risk_Assessment.pdf
22,What is the first step in gathering information pertaining to potential BPS reliability risks?,The first step in gathering information pertaining to potential BPS reliability risks is to review the outputs from the Risk Elements Guide and annual CMEP Implementation Plan for applicability to the entity.,"['review', 'Risk', 'Elements', 'Guide', 'annual', 'CMEP', 'Implementation', 'Plan', 'applicability', 'entity']",Inherent_Risk_Assessment.pdf
23,What is the purpose of the information attributes list in Appendix B?,"The purpose of the information attributes list in Appendix B is to provide a resource for CEAs to consider during the IRA process, containing possible information for CEAs to consider when gathering information.","['The purpose of', 'information attributes list', 'Appendix B', 'is to provide', 'resource for', 'CEAs to consider', 'IRA process', 'containing possible', 'information for', 'CEAs to consider', 'when gathering']",Inherent_Risk_Assessment.pdf
24,How should CEAs develop targeted information requests?,CEAs should develop targeted information requests by using the information attributes list in Appendix B as a resource and reconciling the information on hand with the information attributes list to identify potential information gaps and data verification needs.,"['CEAs', 'information', 'attributes', 'list', 'Appendix', 'B', 'resource', 'reconciling', 'information', 'hand', 'information', 'attributes', 'list', 'identify', 'potential', 'information', 'gaps', 'data', 'verification', 'needs']",Inherent_Risk_Assessment.pdf
25,What is the purpose of the risk factors applied to the entity?,The purpose of the risk factors applied to the entity is to identify further information requests for decision making in Section 2.2.,"['identify', 'further', 'information', 'requests', 'decision', 'making', 'Section', '2.2']",Inherent_Risk_Assessment.pdf
26,What is the difference between appropriateness and sufficiency in the context of information collected during the IRA process?,"Appropriateness is a measure of the quality of information that encompasses its relevance, validity, and reliability, whereas sufficiency is a measure of the quantity of information that is necessary to draw conclusions.","['appropriateness', 'sufficiency', 'information', 'IRA', 'process']",Inherent_Risk_Assessment.pdf
27,What should CEAs consider when developing risk factors and risk factor criteria?,"CEAs should consider the context of a registered entity's size, location, or function when developing risk factors and risk factor criteria.","['size', 'location', 'function']",Inherent_Risk_Assessment.pdf
28,What is the role of the ERO in the IRA process?,"The ERO plays a role in the IRA process by providing guidance and support to CEAs in the information gathering phase, and by confirming that the information collected is both appropriate and sufficient.","['ERO', 'IRA', 'CEAs', 'information', 'gathering', 'phase', 'appropriate', 'sufficient']",Inherent_Risk_Assessment.pdf
29,What is the objective of the Information Gathering phase of the IRA process?,The objective of the Information Gathering phase of the IRA process is to gather information pertaining to the potential BPS reliability risks and the associated Reliability Standards and Requirements for the registered entity's functional registration(s).,"['gather', 'information', 'pertaining', 'potential', 'BPS', 'reliability', 'risks', 'associated', 'Reliability', 'Standards', 'Requirements', 'registered', ""entity's"", 'functional', 'registrations']",Inherent_Risk_Assessment.pdf
30,What is the purpose of the Information Gathering phase in the IRA process?,"The purpose of the Information Gathering phase is to collect and verify information that is necessary to perform an IRA, including information on risk elements, risk factors, and Reliability Standards and Requirements applicable to the registered entity.","['information', 'gathering', 'phase', 'IRA', 'risk', 'elements', 'factors', 'standards', 'requirements', 'registered', 'entity']",Inherent_Risk_Assessment.pdf
31,What are the key outputs of the Information Gathering phase?,"The key outputs of the Information Gathering phase include a prioritized list of known risks to the reliability of the BPS and associated Reliability Standards and Requirements, a preliminary list of risk factors applicable to the registered entity, and updated/verified registered entity data.","['prioritized', 'list', 'risks', 'reliability', 'BPS', 'Reliability', 'Standards', 'Requirements', 'preliminary', 'list', 'risk', 'factors', 'registered', 'entity', 'data']",Inherent_Risk_Assessment.pdf
32,What is the role of professional judgment in the IRA process?,Professional judgment is required in the IRA process to identify the most reliable sources of information and to determine the appropriateness and sufficiency of the information collected.,"['Professional', 'judgment', 'IRA', 'process', 'reliable', 'sources', 'information', 'collected']",Inherent_Risk_Assessment.pdf
33,What are some examples of risk factors that may be applicable to a registered entity?,"Examples of risk factors that may be applicable to a registered entity include those listed in Appendix C of the IRA Guide, such as weather, human error, and cybersecurity threats.","['weather', 'human error', 'cybersecurity threats']",Inherent_Risk_Assessment.pdf
