question,answer,tokens_present,document
What is the purpose of the National Health Plan in 1983?,The purpose of the National Health Plan in 1983 was to detail the infrastructural plan for the next 20 years and to promote the idea of Medisave.,['The purpose of the National Health Plan in 1983 was to detail the infrastructural plan for the next 20 years and to promote the idea of Medisave.'],Healthcare_System_in_Singapore
What is the role of the Minister of Health (MOH) in Singapore's healthcare system?,"The Minister of Health (MOH) oversees the provision and regulation of healthcare services in Singapore, including promoting health education, monitoring accessibility and quality of healthcare services, preventing and controlling diseases, allocating resources and specialists, and administrating required licenses for healthcare establishments.","['Minister of Health', 'healthcare', 'Singapore', 'provision', 'regulation', 'health education', 'accessibility', 'quality', 'diseases', 'resources', 'specialists', 'licenses', 'healthcare establishments']",Healthcare_System_in_Singapore
What are the four types of healthcare delivery systems in Singapore?,"The four types of healthcare delivery systems in Singapore are primary healthcare, hospital care, long-term care, and other integrated care.","['primary healthcare', 'hospital care', 'long-term care', 'other integrated care']",Healthcare_System_in_Singapore
How many people in Singapore are covered by Medisave?,"As of 2012, there were three million Medisave accounts with a total balance of 50.2 billion.","['three million', '50.2 billion']",Healthcare_System_in_Singapore
What is Medifund and how does it help patients who cannot afford medical expenses?,"Medifund is an endowment fund set up by the Singapore government to help citizens and PRs whose Medisave and MediShield are inadequate to pay medical expenses. The fund provides financial assistance to eligible patients who cannot afford medical expenses, subject to the approval of Medifund-approved institutions.","['Medifund', 'endowment fund', 'Singapore government', 'Medisave', 'MediShield', 'financial assistance', 'eligible patients', 'Medifund-approved institutions']",Healthcare_System_in_Singapore
What types of private insurance plans are available in Singapore?,"Private insurers in Singapore offer two types of plans, namely Private Medical Insurance Scheme (PMIS) and Non-PMIS Private Medical Insurance. PMIS is a catastrophic medical insurance plan that provides additional benefits based on MediShield, while Non-PMIS Private Medical Insurance includes group plans and individual plans.","['Private Medical Insurance Scheme (PMIS)', 'Non-PMIS Private Medical Insurance']",Healthcare_System_in_Singapore
What is the role of the Singapore Reinsurers' Association (SRA)?,The SRA is a trade association that aims to facilitate and encourage cooperation among all companies transacting reinsurance business in Singapore. It aims to improve reinsurance expertise in Singapore.,"['The SRA', 'trade association', 'reinsurance business', 'Singapore', 'improve reinsurance expertise']",Healthcare_System_in_Singapore
"How many members did the Singapore Actuarial Society (SAS) have as of March 11th, 2011?","As of March 11th, 2011, the total membership of SAS numbered 543.",['543'],Healthcare_System_in_Singapore
What is the old-age support-ratio in Singapore?,"The old-age support-ratio in Singapore was 7.9% in 2010, which is a decline from 8.2% in 2000.","['7.9%', '8.2%', '2010', '2000']",Healthcare_System_in_Singapore
How does the healthcare expenditure in Singapore compare to the US?,"Singapore's healthcare expenditure is lower than the US, with a higher life expectancy. Singapore's healthcare system also has a higher proportion of healthcare expenditure coming from personal savings, while the US relies more on employer-based health insurance and government programs.","['lower', 'US', 'Singapore', 'healthcare', 'expenditure', 'life expectancy', 'personal savings', 'employer-based health insurance', 'government programs']",Healthcare_System_in_Singapore
What is the World Health Organization's ranking of the healthcare systems in Singapore and the US?,"According to the World Health Organization, Singapore's healthcare system ranks 6th out of 191 countries, while the US ranks 37th.","['6th', '37th']",Healthcare_System_in_Singapore
What is the source of funding for the healthcare system in Singapore?,"The healthcare system in Singapore is funded by a combination of personal savings, employer contributions, and government subsidies.","['personal savings', 'employer contributions', 'government subsidies']",Healthcare_System_in_Singapore
How does the Singapore healthcare system compare to other countries?,"The Singapore healthcare system is considered one of the best in the world, with high-quality healthcare services and efficient delivery, but it is also considered hard to replicate in other countries due to its unique features.","['high-quality', 'efficient', 'best', 'unique']",Healthcare_System_in_Singapore
