question,answer,tokens_present,document
What is the purpose of the Procedural Instruction (PI) for arrivals without a visa?,The purpose of the PI is to provide guidance for Border Clearance Officers (BCOs) in the Aviation environment when dealing with non-citizen travellers who do not appear to hold a visa.,"['guidance', 'Border Clearance Officers', 'Aviation', 'non-citizen travellers', 'visa']",Home_Affairs.pdf
What is the scope of the PI?,The PI covers referrals of non-citizen travellers in immigration clearance who do not appear to hold a visa. It applies to BCOs in the Aviation environment providing immigration clearance under the Migration Act.,"['The PI', 'non-citizen travellers', 'immigration clearance', 'visa', 'BCOs', 'Aviation environment', 'Migration Act']",Home_Affairs.pdf
What is not covered by the PI?,"The PI does not cover immigration clearance of non-citizens who hold a visa, including imposters who appear to hold a visa, or apply for a visa whilst in clearance. It also does not cover immigration clearance of non-citizens without a visa in the Maritime environment, immigration clearance of Australian citizens, or clearance of travellers and/or goods under the Customs Act 1901.","['visa', 'non-citizens', 'clearance', 'Australian citizens', 'Maritime', 'Customs Act 1901']",Home_Affairs.pdf
What are the requirements for immigration clearance under the Migration Act?,"Under s166 of the Migration Act, a valid visa is required to enter and remain in Australia. Travellers must present evidence of their identity (a valid travel document such as a passport) and a valid visa to enter Australia, unless they have a prescribed status for a Special Purpose Visa (SPV).","['valid visa', 'passport', 'Special Purpose Visa (SPV)']",Home_Affairs.pdf
What is a Special Purpose Visa (SPV)?,"A Special Purpose Visa (SPV) is a type of visa that applies to certain categories of non-citizens who are exempt from holding a visa for travel to Australia. For further information, refer to the Migration Regulations 1994 (the Regulations) Reg 2.","['Special', 'Purpose', 'Visa', 'SPV', 'Australia', 'Migration', 'Regulations']",Home_Affairs.pdf
How do BCOs determine whether an offence under Section 229 of the Migration Act has occurred?,"BCOs must determine, in consultation with a supervisor, whether an offence under Section 229 of the Migration Act has occurred and whether it is appropriate in the circumstances to issue an infringement notice to the airline who transported the person to Australia.","['BCOs', 'offence', 'Section 229', 'Migration Act', 'supervisor', 'infringement', 'notice', 'airline', 'Australia']",Home_Affairs.pdf
What is Section 229 of the Migration Act?,Section 229 of the Migration Act refers to the offence of bringing a non-citizen to Australia without a visa.,"['Section', '229', 'Migration', 'Act', 'offence', 'bringing', 'non-citizen', 'Australia', 'without', 'visa']",Home_Affairs.pdf
What is the role of the Border Operations Centre (BOC) in immigration clearance?,"The BOC may authorize uplift for a traveller who does not hold a valid visa, under limited circumstances.","['The', 'BOC', 'may', 'authorize', 'uplift', 'for', 'a', 'traveller', 'who', 'does', 'not', 'hold', 'a', 'valid', 'visa', 'under', 'limited', 'circumstances']",Home_Affairs.pdf
What is the process for protection claims at the border?,Protection claims at the border are covered in Protection Claims at the Border – PI (BC -2436).,"['Protection', 'Claims', 'at', 'the', 'border']",Home_Affairs.pdf
What is the definition of an Australian citizen?,"An Australian citizen is a person who holds Australian citizenship, as defined in the Australian Citizenship Act 2007.","['Australian citizen', 'Australian Citizenship Act 2007']",Home_Affairs.pdf
What are the two types of documentary evidence required for immigration clearance in Australia?,The two types of documentary evidence required for immigration clearance in Australia are a valid visa to enter Australia for non-citizens and a completed and accurate Incoming Passenger Card (IPC).,"['valid visa', 'Incoming Passenger Card (IPC)']",Home_Affairs.pdf
What is the purpose of the Passenger Analysis Clearance Evaluation (PACE) system?,The purpose of the Passenger Analysis Clearance Evaluation (PACE) system is to confirm that a traveller holds a visa by scanning or entering the accurate passport/travel document details.,"['confirm', 'visa', 'passport', 'travel document']",Home_Affairs.pdf
