question,answer,question_type,filename
Can staff members claim transport reimbursement for traveling to places that are inaccessible by bus or MRT from their homes and vice versa for official purposes?,"Yes, staff members can claim transport reimbursement for such travel, and they will be reimbursed the taxi fare after deducting the usual daily transport expenses incurred between home and office.",simple,HR_Policy.pdf
How is the fixed transport reimbursement amount pro-rated for staff members who are away from work for more than 14 consecutive working days?,The fixed transport reimbursement amount will be pro-rated for staff members who are away from work for more than 14 consecutive working days.,simple,HR_Policy.pdf
What is the rate of transport reimbursement for staff members who use their own cars for official journeys?,60 cents per km.,simple,HR_Policy.pdf
Is there a fixed transport reimbursement amount for staff members who travel frequently in the course of their work?,"Yes, there is a fixed transport reimbursement amount of $275 per month for staff members who are recommended by the Head of Department/Executive Secretary of Industrial Union and are required to travel frequently in the course of their work.",simple,HR_Policy.pdf
Will a staff member's weekends be treated as no pay leave if they take no pay leave for 30 calendar days or more?,"Yes, all weekends in that period will be treated as no pay leave.",simple,HR_Policy.pdf
What is the maximum amount that NTUC-ARU will contribute to a staff member's Medisave and salary accounts in a year?,NTUC-ARU will contribute up to $170 to a staff member's Medisave and salary accounts in a year.,simple,HR_Policy.pdf
Can a staff member encash their annual leave balance if they are unable to clear it due to exigencies of service?,"Yes, a staff member can encash their annual leave balance if they are unable to clear it due to exigencies of service. The formula for leave encashment is provided in the text.",simple,HR_Policy.pdf
Can staff refer to any polyclinic or registered General Practitioner (GP) to a panel of specialists approved by NTUC Income?,Yes.,simple,HR_Policy.pdf
Can a staff member work for another employer during their annual leave within the period of notice of resignation?,"No, a staff member cannot work for another employer during their annual leave within the period of notice of resignation. NTUC-ARU has the right to withhold payment or claim the refund of payment for such annual leave or a portion thereof.",simple,HR_Policy.pdf
How does the staff member bear the excess of the annual premium if they choose to continue with their existing medical insurance plan with another insurer?,"The staff member will have to bear the excess of the annual premium themselves via their Medisave account, being the difference in cost between the EIS Advantage Plan and their existing medical insurance plan. However, the staff member will enjoy a cost savings via their salary account, being the difference in cost between the IAR Advantage Plan and their existing medical insurance plan.",simple,HR_Policy.pdf
Can a staff member apply for no pay leave if they have exhausted all their annual leave?,"Yes, a confirmed staff member who has exhausted all their annual leave may apply for no pay leave. Approval is granted on a case-by-case basis.",simple,HR_Policy.pdf
What is the annual premium for the Enhanced Incomeshield (EIS) plan for a staff member under 31 years old?,The annual premium for the EIS plan for a staff member under 31 years old is $95.,simple,HR_Policy.pdf
How is the IR allowance pro-rated for a staff member who relinquishes their appointment during the month?,The IR allowance will be pro-rated according to the number of working days served in that month.,simple,HR_Policy.pdf
How much does NTUC-ARU contribute to a staff member's salary account for the IAR plan?,NTUC-ARU contributes $8.34 per month to a staff member's salary account for the IAR plan.,simple,HR_Policy.pdf
Can staff members who are in receipt of handphone allowance use their handphones for personal purposes?,"No, staff members who are in receipt of handphone allowance must remain contactable at all times and the handphone number must be posted in the NTUC Directory and be contactable by all persons.",simple,HR_Policy.pdf
Can NTUC-ARU withdraw permission granted to staff for performance of work described in paragraph 10.1?,"Yes, NTUC-ARU reserves the right to withdraw any permission granted to staff for the performance of such work.",simple,HR_Policy.pdf
What is the rate of pay for a staff member who works more than 44 hours in a week on a Sunday (Rest Day)?,The rate of pay for a staff member who works more than 44 hours in a week on a Sunday (Rest Day) is 2 days' basic rate of pay.,simple,HR_Policy.pdf
What is the maximum amount of travel insurance coverage for staff in Grade N4 and above for overseas travel?,"The maximum amount of travel insurance coverage for staff in Grade N4 and above for overseas travel is $500,000.",simple,HR_Policy.pdf
How long does the Head of Department/Executive Secretary of Industrial Union have to give a decision on a grievance?,The Head of Department/Executive Secretary of Industrial Union shall give his decision on the matter within 3 working days from the date the complaint was referred to him.,simple,HR_Policy.pdf
Can a staff member who has fallen ill apply for no pay leave?,"Yes, a staff member who has fallen ill under circumstances in which paragraph 7 is inapplicable and has exhausted all his annual and medical leave may apply for no pay leave.",simple,HR_Policy.pdf
What is the amount of funeral grant given to a staff member in the event of the death of an immediate family member?,"The funeral grant for a staff member in the event of the death of an immediate family member is $500, and a wreath.",simple,HR_Policy.pdf
Is a staff member allowed to take annual leave during the period of notice?,"No, a staff member will not be permitted to take his available annual leave during the period of notice unless with the approval of the Reporting Officer.",simple,HR_Policy.pdf
Can staff claim the balance of the health screening cost that exceeds the cap reimbursed by NTUC-ARU from their Flexible Benefit?,Yes.,simple,HR_Policy.pdf
How is medical leave handled for staff members who did not complete probation and cease employment for whatever reason before confirmation?,"The number of days of Medical Leave that a staff member is entitled to will be pro-rated according to the length of completed service, as per Employment Act provisions.",simple,HR_Policy.pdf
What happens to the mobile broadband access allowance when a staff member resigns or goes on long-term no-pay leave?,The mobile broadband access allowance will cease on the effective date of resignation or no-pay leave.,simple,HR_Policy.pdf
Can a staff member take part in the management or proceedings of any commercial or other undertakings?,"No, a staff member cannot take part in the management or proceedings of any commercial or other undertakings without the approval of the NTUC-ARU management.",simple,HR_Policy.pdf
What happens to the handphone allowance when a staff member resigns or goes on long-term no-pay leave?,The handphone allowance will cease on the effective date of resignation or no-pay leave.,simple,HR_Policy.pdf
Can a staff member take all their annual leave due to them immediately before their retirement?,"Yes, a staff member who will be retiring from NTUC-ARU will be given permission to take all the annual leave due to them immediately before the date of retirement.",simple,HR_Policy.pdf
How many working days of annual leave are staff members entitled to per calendar year of service?,"Staff members are entitled to 14 working days of annual leave per calendar year of service if they have less than 10 years of service, and 18 working days if they have 10 years of service or more.",simple,HR_Policy.pdf
"What is the pro-rated flexible benefit amount for staff members who join or leave NTUC-ARU during the year, considering their completed years of service and calendar days?","The flexible benefit amount is pro-rated according to the number of days served in a calendar year, with staff members eligible for $850 or $950 based on their completed years of service. The amount is transferable to the staff's Medisave account if not used by December 31st of the year.",conditional,HR_Policy.pdf
"What is the maximum number of days of medical leave that a staff member can take in a calendar year, considering Outpatient Medical Leave and Hospitalisation Leave, and how is it affected by the staff member's probation and confirmation status?","A staff member can take up to an aggregate of 14 working days of paid Outpatient Medical Leave and up to an aggregate of 60 days of Hospitalisation Leave in each calendar year, less any Outpatient Medical Leave taken during the year. The number of days of Medical Leave a staff member is entitled to will be pro-rated according to the length of completed service if they did not complete probation and cease employment for whatever reason before confirmation.",conditional,HR_Policy.pdf
What is the policy regarding annual leave and termination or dismissal of a staff member at NTUC-ARU?,"In case of termination of service by NTUC-ARU, any unconsumed annual leave may be compensated by payment of salary. However, if a staff member is summarily dismissed for misconduct, they will not be eligible for any salary payment for annual leave that is not yet consumed as at the day of dismissal.",conditional,HR_Policy.pdf
What is the dual purpose of the co-payment for outpatient specialist treatment under the i-Medicare (Specialist) plan concerning staff's expenses and NTUC Income's reimbursement?,$15 per visit.,conditional,HR_Policy.pdf
