question,answer,tokens_present,document
What is the probation period for staff appointed at Grade N1 to N3?,The probation period for staff appointed at Grade N1 to N3 is 3 months.,['3 months'],HR_Policy.pdf
Can the probationary period be extended for staff?,"Yes, the probationary period may be extended upon recommendation by the Reporting Officer and Head of Department / Executive Secretary of Industrial Union.",['Yes'],HR_Policy.pdf
How many working hours are staff expected to work per day?,"Staff can be expected to work any of the following working schedules, subject to operational needs and approval of the Heads of Departments / Executive Secretaries of Industrial Unions: Mondays – Fridays (a) 8 am to 5.30 pm, (b) 8.30 am to 6 pm, (c) 9 am to 6.30 pm, (d) 9.30 am to 7 pm.","['8 am', '5.30 pm', '8.30 am', '6 pm', '9 am', '6.30 pm', '9.30 am', '7 pm']",HR_Policy.pdf
Is there a flexible hours of operations policy for staff?,"Yes, Heads of Departments / Executive Secretaries of Industrial Unions are given the option to exercise flexible hours of operations within their Departments/Unions, and the Human Resource Department must be kept informed of such operations.",['Yes'],HR_Policy.pdf
Can staff take unpaid leave?,"Yes, staff can take unpaid leave, subject to approval by the Head of Department / Executive Secretary of Industrial Union.",['Yes'],HR_Policy.pdf
What is the purpose of the probation period?,The purpose of the probation period is to assess the staff’s performance and determine their suitability for confirmation.,"['assess', 'staff', 'performance', 'confirmation']",HR_Policy.pdf
How many days of annual leave are staff entitled to?,"Staff are entitled to 14 days of annual leave per year, and this can be taken at any time during the year, subject to approval by the Head of Department / Executive Secretary of Industrial Union.",['14 days'],HR_Policy.pdf
Can staff take leave to care for a sick family member?,"Yes, staff can take up to 3 days of family care leave per year to care for a sick family member, subject to approval by the Head of Department / Executive Secretary of Industrial Union.",['Yes'],HR_Policy.pdf
What is the notice period for termination of employment?,"The notice period for termination of employment varies, depending on the staff's grade and whether they are on probation or confirmed in service. For staff on probation, the notice period is either party before the expiry of the probation period. For staff who are confirmed in service, the notice period is either party by giving written notice to the other party.","['varies', ""staff's grade"", 'probation', 'confirmed', 'notice period']",HR_Policy.pdf
Is there a policy for staff to work from home?,"Yes, staff can work from home, subject to approval by the Head of Department / Executive Secretary of Industrial Union, and the staff must ensure that their work is not affected by the work-from-home arrangement.",['Yes'],HR_Policy.pdf
What is the notice period for staff who are on probation?,The notice period for staff who are on probation is 48 hours before the expiry of the probation period.,['48 hours'],HR_Policy.pdf
Can staff substitute the notice requirement with a payment?,"Yes, staff can substitute the notice requirement by paying in-lieu of notice, a sum of money equal to the salary for the period not served.",['Yes'],HR_Policy.pdf
How is the notice pay computed?,The notice pay is computed by multiplying the number of working days not served in the month of resignation by the monthly salary.,"['monthly salary', 'number of working days', 'not served', 'month of resignation']",HR_Policy.pdf
Can staff apply for annual leave during the period of notice?,"Yes, staff can apply for annual leave during the period of notice, subject to the approval of the Reporting Officer.",['Yes'],HR_Policy.pdf
What happens if a staff member does not serve a full month due to resignation?,"If a staff member does not serve a full month due to resignation, they will receive a pro-rated salary for the last month of service.","['pro-rated', 'salary', 'last', 'month', 'service']",HR_Policy.pdf
What is the formula for pro-rating salary?,The formula for pro-rating salary is: No. of Working Days worked in Month of Resignation / Total No. of Working Days in Month of Resignation x Monthly Salary.,['No'],HR_Policy.pdf
Are public holidays recognized by NTUC-ARU?,"Yes, NTUC-ARU recognizes all gazetted public holidays in Singapore.",['Yes'],HR_Policy.pdf
What happens if a public holiday falls on a staff member's rest day?,"If a public holiday falls on a staff member's rest day, the following Monday shall be considered a paid holiday.",['paid holiday'],HR_Policy.pdf
Can staff take lunch breaks outside the specified hours?,"Yes, staff may be asked to take lunch breaks outside the hours specified due to operational needs.",['Yes'],HR_Policy.pdf
What is the attendance policy for staff?,"Staff are expected to report for duty at the stipulated working hours. If a staff member is unable to report for duty, they should inform their Reporting Officer in advance.","['Staff', 'report', 'duty', 'inform']",HR_Policy.pdf
What are the staff required to do at all times during their duties?,"The staff are required to faithfully and diligently carry out their duties to the best of their ability and comply with the instructions of their Head of Department/Executive Secretary of Industrial Union, or any other person duly authorized to give oral or written instructions.","['diligently', 'best', 'ability', 'comply', 'instructions']",HR_Policy.pdf
"How should staff treat members of the public, union officials, and members during the course of their duties?","Staff should treat all members of the public, union officials, and members with courtesy and conduct themselves in a manner that keeps up with the dignity, prestige, and status of NTUC-ARU.","['courtesy', 'manner', 'dignity', 'prestige', 'status']",HR_Policy.pdf
Can a staff consume liquor or alcoholic drinks during official working hours?,"No, a staff shall not consume liquor or alcoholic drinks during official working hours.",['No'],HR_Policy.pdf
What is the dress code for staff on Mondays to Thursdays?,"The dress code for staff on Mondays to Thursdays is office attire, which includes skirt suits, pant suits, blouse and skirt, or dress for female staff, and long/short sleeved shirts with tailored pants for male staff.","['office attire', 'skirt suits', 'pant suits', 'blouse', 'skirt', 'dress', 'long/short sleeved shirts', 'tailored pants']",HR_Policy.pdf
"Are staff allowed to ""dress down"" on Fridays?","Yes, staff are allowed to ""dress down"" on Fridays, but the attire must be smart casual.",['Yes'],HR_Policy.pdf
What is the policy on loss of or damage to property and vandalism?,"All staff shall take all possible care to prevent loss of or damage to any property of NTUC-ARU while such property is under their charge or control. If such property is lost or damaged, the staff is required to restitute 60% of the net book value of the said property, unless the insurance policy taken covers such loss or damage.","['All', 'staff', 'shall', 'take', 'all', 'possible', 'care', 'to', 'prevent', 'loss', 'of', 'or', 'damage', 'to', 'any', 'property', 'of', 'NTUC-ARU', 'while', 'such', 'property', 'is', 'under', 'their', 'charge', 'or', 'control', 'If', 'such', 'property', 'is', 'lost', 'or', 'damaged', 'the', 'staff', 'is', 'required', 'to', 'restitute', '60%', 'of', 'the', 'net', 'book', 'value', 'of', 'the', 'said', 'property', 'unless', 'the', 'insurance', 'policy', 'taken', 'covers', 'such', 'loss', 'or', 'damage']",HR_Policy.pdf
Can a staff attend meetings with external parties on a Friday in smart casual attire?,"No, if a staff has to attend meetings with external parties on a Friday, they have to revert to normal office attire (same as worn for Monday to Thursday).",['No'],HR_Policy.pdf
How should staff maintain their hairstyle for the office environment?,"Staff have to maintain a suitable hairstyle for the office environment. Unduly long and unkempt hairstyles must be avoided, and coloured/tinted hair must only be in shades of brown.","['suitable', 'unduly', 'unkempt', 'coloured', 'tinted', 'shades', 'brown']",HR_Policy.pdf
What happens if a staff member is financially embarrassed?,"If a staff member is financially embarrassed, they may face disciplinary proceedings that could lead to their dismissal from service.","['financially', 'embarrassed', 'dismissal']",HR_Policy.pdf
Can a staff member accept gifts or presents from the public or companies?,"No, a staff member should firmly decline all offers of gifts or presents from the public or companies.",['No'],HR_Policy.pdf
What should a staff member do if they receive a gift or present despite declining it?,"If a staff member receives a gift or present despite declining it, they should immediately hand it over to their Head of Department or Executive Secretary of Industrial Union.","['immediately', 'hand', 'it', 'over', 'their', 'Head', 'of', 'Department', 'or', 'Executive', 'Secretary', 'of', 'Industrial', 'Union']",HR_Policy.pdf
