question,answer,tokens_present,document
What are the concerns specifically addressed in the critical sectors and use cases listed in the annexes to the Regulation?,"The concerns specifically addressed in the critical sectors and use cases listed in the annexes to the Regulation include the impact of artificial intelligence systems on democracy and rule of law, and the environment.","['impact', 'artificial intelligence', 'systems', 'democracy', 'rule of law', 'environment']",TA-9-2023-0236_EN
What is the role of the European Central Bank in the proposal for a regulation on artificial intelligence?,"The European Central Bank has been consulted in the proposal for a regulation on artificial intelligence, and its opinion has been taken into account in the drafting of the Regulation.","['The European Central Bank', 'has been consulted', 'in the proposal', 'for a regulation', 'on artificial intelligence']",TA-9-2023-0236_EN
What is the significance of the opinion of the European Data Protection Board and the European Data Protection Supervisor in the proposal for a regulation on artificial intelligence?,The opinion of the European Data Protection Board and the European Data Protection Supervisor in the proposal for a regulation on artificial intelligence is significant as it provides guidance on the processing of personal data in the context of artificial intelligence systems.,"['significant', 'guidance', 'processing', 'personal data', 'artificial intelligence systems']",TA-9-2023-0236_EN
What is the purpose of the proposed regulation regarding AI systems?,"The purpose of the proposed regulation is to introduce a proportionate and effective set of binding rules for AI systems, tailored to the intensity and scope of the risks they can generate, in order to prohibit certain unacceptable AI practices, lay down requirements for high-risk AI systems and obligations for relevant operators, and lay down transparency obligations for certain AI systems.","['propose', 'regulation', 'AI', 'systems', 'risks', 'prohibit', 'requirements', 'obligations', 'transparency']",TA-9-2023-0236_EN
"What are some of the vulnerabilities that AI systems may exploit, according to Recital 16?","AI systems may exploit vulnerabilities of individuals and specific groups of persons due to their known or predicted personality traits, age, physical or mental incapacities, social or economic situation, according to Recital 16.","['known', 'predicted', 'personality', 'traits', 'age', 'physical', 'mental', 'incapacities', 'social', 'economic']",TA-9-2023-0236_EN
"What is the difference between the prohibition on certain AI systems and the limitation on the use of AI systems with the objective to or the effect of materially distorting human behavior, according to Recital 16?","The prohibition on certain AI systems is a general prohibition on the placing on the market, putting into service or use of certain AI systems intended to distort human behavior, while the limitation on the use of AI systems with the objective to or the effect of materially distorting human behavior is a specific limitation on the use of neuro-technologies assisted by AI systems that are used to monitor, use, or influence neural data gathered through brain-computer interfaces insofar as they are materially distorting the behavior of a natural person in a manner that causes or is likely to cause that person or another person significant harm.","['materially distorting', 'human behavior', 'neural data', 'brain-computer interfaces', 'significant harm']",TA-9-2023-0236_EN
Are there any exceptions to the scope of the proposed Regulation?,"Yes, there are some exceptions to the scope of the proposed Regulation. For example, it does not apply to AI systems used for research, testing, and development activities prior to being placed on the market or put into service, provided that these activities are conducted respecting fundamental rights and applicable Union law. It also does not apply to AI components provided under free and open-source licenses, except to the extent they are placed on the market or put into service by a provider as part of a high-risk AI system or of an AI system that falls under Title II or IV.",['Yes'],TA-9-2023-0236_EN
"Can Member States or the Union maintain or introduce laws, regulations, or administrative provisions that are more favourable to workers in terms of protecting their rights in respect of the use of AI systems by employers?","Yes, Member States or the Union can maintain or introduce laws, regulations, or administrative provisions that are more favourable to workers in terms of protecting their rights in respect of the use of AI systems by employers, or to encourage or allow the application of collective agreements which are more favourable to workers.",['Yes'],TA-9-2023-0236_EN
"How does the proposed Regulation relate to the protection of personal data, privacy, and the confidentiality of communications?","The proposed Regulation shall not affect Regulations (EU) 2016/679 and (EU) 2018/1725 and Directives 2002/58/EC and (EU) 2016/680, without pre",['The proposed Regulation shall not affect Regulations (EU) 2016/679 and (EU) 2018/1725 and Directives 2002/58/EC and (EU) 2016/680'],TA-9-2023-0236_EN
What is the difference between embedded and non-embedded AI systems?,"Embedded AI systems are integrated into a physical product, whereas non-embedded AI systems are used to serve the functionality of a physical product without being integrated therein.","['embedded', 'non-embedded']",TA-9-2023-0236_EN
What is the relationship between the proposed Regulation and the General Data Protection Regulation (GDPR)?,"The proposed Regulation should be interpreted consistently with the GDPR, particularly in relation to the notion of biometric data.","['consistently', 'biometric data']",TA-9-2023-0236_EN
What is the purpose of the proposal for a regulation Recital 8?,The purpose of the proposal for a regulation Recital 8 is to define the notion of remote biometric identification system as used in the Regulation.,['The purpose of the proposal for a regulation Recital 8 is to define the notion of remote biometric identification system as used in the Regulation'],TA-9-2023-0236_EN
What is the definition of remote biometric identification system as used in this Regulation?,"A remote biometric identification system is defined functionally as an AI system intended for the identification of natural persons at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database, and without prior knowledge whether the targeted person will be present and can be identified.","['remote biometric identification system', 'AI system', 'biometric data', 'reference database', 'natural persons', 'identification']",TA-9-2023-0236_EN
What is the difference between remote biometric identification systems and close proximity individual verification systems?,"Remote biometric identification systems are designed to identify natural persons at a distance, whereas close proximity individual verification systems are designed to confirm whether a specific natural person presenting themselves for identification is permitted, such as in order to gain access to a service, a device, or premises.","['remote', 'biometric', 'identification', 'systems', 'close', 'proximity', 'individual', 'verification', 'systems']",TA-9-2023-0236_EN
How does the Regulation address the issue of consent in relation to remote biometric identification systems?,"The Regulation addresses the issue of consent by clarifying that the notion of biometric identification is independent from the individual’s consent, and that the definition of remote biometric identification system applies even when warning notices are placed in the location that is under surveillance of the remote biometric identification system.","['clarifying', 'biometric', 'identification', 'system', 'applies']",TA-9-2023-0236_EN
"What is the purpose of the requirements for high-risk AI systems, according to Recital 42?","The purpose of the requirements for high-risk AI systems is to mitigate the risks from such systems for users and affected persons, taking into account the intended purpose of the use of the system and according to the risk management system to be established by the provider.","['mitigate', 'risks', 'users', 'affected persons', 'intended purpose', 'risk management system', 'provider']",TA-9-2023-0236_EN
"What are the characteristics of high-quality training, validation and testing data sets, according to Recital 44?","High-quality training, validation and testing data sets should be sufficiently relevant, representative and free of errors, and complete in view of the intended purpose of the system. They should also have the appropriate statistical properties, including as regards the persons or groups of persons on which the high-risk AI system is intended to be used.","['sufficiently', 'relevant', 'representative', 'free', 'complete', 'appropriate', 'statistical', 'properties']",TA-9-2023-0236_EN
"What is the scope of the Regulation, according to Recital 41a?","The Regulation applies to AI systems that are placed or otherwise put into service on the Union market, regardless of their origin.","['The Regulation applies to AI systems that are placed or otherwise put into service on the Union market, regardless of their origin']",TA-9-2023-0236_EN
"What is the definition of ""placing on the market"" according to Recital 12b?","According to Recital 12b, ""placing on the market"" means making available on the market, but it does not include transactions between micro enterprises for a free and open-source AI component.","['making available on the market', 'transactions between micro enterprises', 'free and open-source AI component']",TA-9-2023-0236_EN
"What are the exceptions to the non-application of the Regulation to free and open-source AI components, according to Recital 12b?","The exceptions to the non-application of the Regulation to free and open-source AI components, according to Recital 12b, are when they are placed on the market or put into service by a provider as part of a high-risk AI system or an AI system that falls under Title II or IV of this Regulation.",['part of a high-risk AI system or an AI system that falls under Title II or IV of this Regulation'],TA-9-2023-0236_EN
What is the issue with AI systems providing social scoring for general purpose by public authorities or on their behalf?,"Such systems may lead to discriminatory outcomes and the exclusion of certain groups, and may violate the right to dignity and non-discrimination and the values of equality and justice.","['discriminatory', 'exclusion', 'dignity', 'non-discrimination', 'equality', 'justice']",TA-9-2023-0236_EN
Is it necessary for the provider or deployer of an AI system to have the intention to cause significant harm for the system to be prohibited?,"No, it is not necessary for the provider or deployer to have the intention to cause significant harm. The prohibition applies as long as the AI system results in manipulative or exploitative practices that expose natural persons to harm.",['No'],TA-9-2023-0236_EN
What is the purpose of Recital 16a of the proposed regulation?,"Recital 16a of the proposed regulation aims to prohibit AI systems that categorize natural persons by assigning them to specific categories based on known or inferred sensitive or protected characteristics, as such systems violate human dignity and hold a great risk of discrimination.","['prohibit', 'AI', 'systems', 'categorize', 'natural', 'persons', 'assigning', 'specific', 'categories', 'based', 'known', 'inferred', 'sensitive', 'protected', 'characteristics', 'dignity', 'discrimination']",TA-9-2023-0236_EN
What type of AI systems should be classified as high-risk?,"AI systems used to evaluate credit score or creditworthiness, determine access to financial resources or essential services, detect fraud in offering financial services, dispatch or establish priority in emergency first response services, and make decisions in law enforcement should be classified as high-risk.","['high-risk', 'AI systems', 'credit score', 'creditworthiness', 'financial resources', 'essential services', 'fraud', 'emergency first response services', 'law enforcement']",TA-9-2023-0236_EN
Are AI systems used for detecting fraud in offering financial services considered high-risk?,"No, AI systems used for detecting fraud in offering financial services should not be considered as high-risk under this Regulation.",['No'],TA-9-2023-0236_EN
"Can AI systems be used to determine whether public assistance benefits and services should be denied, reduced, revoked or reclaimed?","No, AI systems should not be used to determine whether public assistance benefits and services should be denied, reduced, revoked or reclaimed, as they may have a significant impact on persons’ livelihood and may infringe their fundamental rights.",['No'],TA-9-2023-0236_EN
