question,answer,tokens_present,document
What is the purpose of the Constitution of the Republic of Singapore?,"The purpose of the Constitution of the Republic of Singapore is to establish the Republic of Singapore as a sovereign and independent nation, and to provide for the protection of the sovereignty and the fundamental liberties of its citizens.","['sovereign', 'independent', 'protection', 'sovereignty', 'fundamental', 'liberties', 'citizens']",Constitution_of_the_Republic_of_Singapore
What is the process for amending the Constitution of the Republic of Singapore?,"The process for amending the Constitution of the Republic of Singapore involves the introduction of a Bill in Parliament, which must be passed by a two-thirds majority vote in both the House of Representatives and the Senate. The Bill must then be assented to by the President before it becomes law.","['two-thirds', 'House of Representatives', 'Senate', 'President']",Constitution_of_the_Republic_of_Singapore
What is the role of the Attorney-General in Singapore's government?,The Attorney-General is the chief legal officer of the Government of Singapore and is responsible for providing legal advice and representation to the Government. The Attorney-General is also responsible for the administration of justice and the enforcement of the law.,"['The Attorney-General', 'chief legal officer', 'Government of Singapore', 'legal advice', 'representation', 'administration of justice', 'enforcement of the law']",Constitution_of_the_Republic_of_Singapore
How often must the President of Singapore consult the Presidential Council for Minority Rights?,The President of Singapore must consult the Presidential Council for Minority Rights on all matters related to the rights and interests of racial and religious minorities in Singapore.,"['The President of Singapore', 'must', 'consult', 'the Presidential Council for Minority Rights', 'on all matters', 'related to the rights and interests', 'of racial and religious minorities', 'in Singapore']",Constitution_of_the_Republic_of_Singapore
Who is considered a citizen of Singapore according to the Constitution?,"Any person who, under the provisions of this Constitution, has the status of a citizen of Singapore.","['Any', 'person', 'who', 'under', 'the', 'provisions', 'of', 'this', 'Constitution', 'has', 'the', 'status', 'of', 'a', 'citizen', 'of', 'Singapore']",Constitution_of_the_Republic_of_Singapore
"What is the meaning of ""public seal"" in the context of the Constitution?","The ""public seal"" refers to the public seal of Singapore.","['public seal', 'Singapore']",Constitution_of_the_Republic_of_Singapore
"What is the meaning of ""public service"" in the context of the Constitution?","The ""public service"" means service under the Government.","['public', 'service', 'government']",Constitution_of_the_Republic_of_Singapore
"What is the meaning of ""Public Service Commission"" in the context of the Constitution?","The ""Public Service Commission"" refers to the Public Service Commission constituted under the Constitution.","['Public Service Commission', 'constituted', 'under', 'the', 'Constitution']",Constitution_of_the_Republic_of_Singapore
"What is the meaning of ""reserves"" in relation to the Government, a statutory board or Government company?","The ""reserves"" in relation to the Government, a statutory board or Government company, means the excess of assets over liabilities of the Government, statutory board or Government company, as the case may be.","['excess', 'assets', 'liabilities', 'Government', 'statutory board', 'Government company']",Constitution_of_the_Republic_of_Singapore
"What is the meaning of ""Singapore"" in the context of the Constitution?","The ""Singapore"" means the Republic of Singapore.","['Singapore', 'means', 'Republic', 'of', 'Singapore']",Constitution_of_the_Republic_of_Singapore
How can the provisions of the Constitution be amended?,"The provisions of the Constitution can be amended by a law enacted by the Legislature, subject to certain conditions.",['the Legislature'],Constitution_of_the_Republic_of_Singapore
Can a person hold a public office or an office of profit while being in receipt of a pension or other allowances?,"No, a person shall not be considered as holding a public office or an office of profit by reason of the fact that he is in receipt of any remuneration or allowances, including a pension or other like allowance, in respect of his tenure of the office of President, Prime Minister, Chief Justice, Speaker, Deputy Speaker, Minister, Parliamentary Secretary, Political Secretary, Member of Parliament, Ambassador, High Commissioner or such other office as the President may, from time to time, by order, prescribe.",['No'],Constitution_of_the_Republic_of_Singapore
"Can a reference in the Constitution to a specified Part, Article, or Schedule be construed as including references to a period beginning before the commencement of the Constitution?","Yes, references in the Constitution to any period shall, so far as the context admits, be construed as including references to a period beginning before the commencement of the Constitution.",['Yes'],Constitution_of_the_Republic_of_Singapore
What is the minimum number of votes required to pass a Bill amending the Constitution in Singapore?,"According to Article 6(2) of the Constitution, a Bill seeking to amend any provision in the Constitution must be supported on Second and Third Readings by the votes of not less than two-thirds of the total number of Members of Parliament (excluding nominated Members).","['two-thirds', 'Members of Parliament']",Constitution_of_the_Republic_of_Singapore
Is there a requirement for a referendum for the surrender or transfer of sovereignty of the Republic of Singapore?,"Yes, according to Article 6(1) of the Constitution, there shall be no surrender or transfer, either wholly or in part, of the sovereignty of the Republic of Singapore as an independent nation, whether by way of merger or incorporation with any other sovereign state or with any Federation, Confederation, country or territory or in any other manner whatsoever, unless such surrender, transfer or relinquishment has been supported, at a national referendum, by not less than two-thirds of the total number of votes cast by the electors registered under the Parliamentary Elections Act 1954.",['Yes'],Constitution_of_the_Republic_of_Singapore
What is the purpose of Part 3 of the Constitution?,Part 3 of the Constitution protects the sovereignty of the Republic of Singapore and ensures that there is no surrender or transfer of sovereignty or relinquishment of control over the Police Force or the Armed Forces without a national referendum.,"['Part 3', 'Constitution', 'sovereignty', 'Republic of Singapore', 'national referendum']",Constitution_of_the_Republic_of_Singapore
"What is the definition of ""Singapore Armed Forces"" in the Constitution?","According to Article 6(2) of the Constitution, ""Singapore Armed Forces"" means the Singapore Armed Forces raised and maintained under the Singapore Armed Forces Act 1972, and includes any civil defence force formed under the Civil Defence Act 1986 and such other force as the President may, by notification in the Gazette, declare to be an armed force for the purposes of this Article.","['Singapore Armed Forces', 'Article 6(2)', 'Singapore Armed Forces Act 1972', 'Civil Defence Act 1986', 'President', 'Gazette']",Constitution_of_the_Republic_of_Singapore
Can the Constitution be amended to allow for the surrender or transfer of sovereignty of the Republic of Singapore?,"No, according to Article 8 of the Constitution, a Bill for making an amendment to this Part shall not be passed by Parliament unless it has been supported, at a national referendum, by not less than two-thirds of the total number of votes cast by the electors registered under the Parliamentary Elections Act 1954.",['No'],Constitution_of_the_Republic_of_Singapore
What happens if a complaint is made to the General Division of the High Court regarding unlawful detention?,"According to Article 9(2), the General Division of the High Court shall inquire into the complaint and, unless satisfied that the detention is lawful, shall order the person to be produced before the General Division of the High Court and release them.","['According', 'to', 'Article', '9(2)', 'the', 'General', 'Division', 'of', 'the', 'High', 'Court', 'shall', 'inquire', 'into', 'the', 'complaint', 'and', 'unless', 'satisfied', 'that', 'the', 'detention', 'is', 'lawful', 'shall', 'order', 'the', 'person', 'to', 'be', 'produced', 'before', 'the', 'General', 'Division', 'of', 'the', 'High', 'Court', 'and', 'release', 'them']",Constitution_of_the_Republic_of_Singapore
"Can a law that authorizes the arrest and detention of persons in the interests of public safety, peace, and good order be invalidated by Article 9?","No, according to Article 9(6)(a), nothing in Article 9 invalidates any law that authorizes the arrest and detention of persons in the interests of public safety, peace, and good order, as long as the law was in force before the commencement of the Constitution.",['No'],Constitution_of_the_Republic_of_Singapore
Can a person be punished for an act or omission that was not punishable by law when it was done or made?,"No, according to Article 11(1), no person shall be punished for an act or omission that was not punishable by law when it was done or made.",['No'],Constitution_of_the_Republic_of_Singapore
What are the rights conferred by Article 14(1) of the Constitution?,"Article 14(1) of the Constitution confers the rights to freedom of speech, assembly, and association on all citizens of Singapore.","['freedom of speech', 'assembly', 'association']",Constitution_of_the_Republic_of_Singapore
What is the right conferred by Article 15(1) of the Constitution?,Article 15(1) of the Constitution provides every person with the right to profess and practise their religion and to propagate it.,"['every person', 'right', 'profess', 'practise', 'religion', 'propagate']",Constitution_of_the_Republic_of_Singapore
"Can any law relating to public order, public health, or morality restrict the right to form associations conferred by Article 14(1)(c) of the Constitution?","Yes, any law relating to public order, public health, or morality can restrict the right to form associations conferred by Article 14(1)(c) of the Constitution.",['Yes'],Constitution_of_the_Republic_of_Singapore
What is the function of the President of Singapore according to the Constitution?,"The function of the President of Singapore is to safeguard the reserves of Singapore and the integrity of the Public Services of Singapore, and to perform this function according to the provisions of the Constitution mentioned in clause (3) of Article 17.","['safeguard', 'reserves', 'Singapore', 'integrity', 'Public', 'Services', 'Singapore', 'provisions', 'Constitution']",Constitution_of_the_Republic_of_Singapore
What is the scope of the right to education conferred by Article 16 of the Constitution?,"Article 16 of the Constitution provides for the right to education without discrimination on the grounds only of religion, race, descent, or place of birth in the administration of any educational institution maintained by a public authority, and in particular, the admission of pupils or students or the payment of fees.","['right', 'education', 'Article 16', 'Constitution', 'discrimination', 'religion', 'race', 'descent', 'place of birth', 'administration', 'educational institution', 'public authority', 'admission', 'pupils', 'students', 'payment', 'fees']",Constitution_of_the_Republic_of_Singapore
