question,answer,question_type,filename
"What should be done when a Conflict of Interest on the part of an employee, volunteer, or contractor of the Foundation is disclosed?",The individual should declare the Conflict of Interest and absent themselves from the discussion. The minutes of all actions taken related to the matter should clearly reflect that these requirements have been met.,simple,HR_Policy_Procedures.pdf
What documentation is required for an eligible salaried employee who has been out on sick leave for more than three consecutive scheduled work days?,The employee is required to submit documentation from a health care provider to their supervisor certifying the medical necessity for the absence and expected date of return to work.,simple,HR_Policy_Procedures.pdf
Who is responsible for ensuring that employees and volunteers have sufficient insurance coverage when using their own vehicles for Foundation business?,The Foundation needs to get confirmation from their employee or volunteer that they are suitably insured.,simple,HR_Policy_Procedures.pdf
Who is responsible for insurance coverage when an employee uses their own vehicle for Foundation business?,"The employee's personal auto insurance is the primary insurer, and the Foundation's non-owned auto insurance covers excess damages up to $2 million.",simple,HR_Policy_Procedures.pdf
When is an eligible employee required to notify their supervisor about a sick leave?,"An eligible employee must notify their supervisor as soon as they know they will be unable to work, but no later than the starting time of their work day. They must also notify their supervisor on each day of absence unless other arrangements have been made.",simple,HR_Policy_Procedures.pdf
"What should employees, volunteers, or contractors do if they become aware of a violation or suspected violation of the Foundation's Code of Ethics?","They should bring it to the attention of the ED/CEO, and the Foundation's policy prohibits any retribution against them for making such reports.",simple,HR_Policy_Procedures.pdf
"What should be done with the Confidentiality Agreement after it is signed by an employee, volunteer, or contractor?","After being signed, two copies of the Confidentiality Agreement are made. One copy is given to the person who signed the agreement, and the second copy is filed. Additionally, a scanned copy is saved on the server.",simple,HR_Policy_Procedures.pdf
How many working days of annual vacation does an employee earn after one full year of service?,"After completing one full year of service, an employee earns ten working days of annual vacation.",simple,HR_Policy_Procedures.pdf
What is the requirement for an employee to notify their employer if they need to take Emergency Leave?,The employee must inform their employer as soon as possible if they will need to take any of these days off.,simple,HR_Policy_Procedures.pdf
Are part-time employees required to take a minimum amount of vacation time each year?,"Yes, part-time employees are required to take a minimum of two (2) weeks of vacation time each year, either paid or unpaid.",simple,HR_Policy_Procedures.pdf
Can employees use Foundation resources for community or charitable activities without prior approval?,"No, use of Foundation resources for community or charitable activities must be approved in advance by the ED/CEO.",simple,HR_Policy_Procedures.pdf
Who is responsible for approving the recruitment for vacant or newly created positions at the Foundation?,Approval to recruit for vacant or newly created positions will be granted by the appropriate level of authority for the Foundation.,simple,HR_Policy_Procedures.pdf
Who is responsible for the premiums of the Health and Dental benefit program for retiring executive staff?,The premiums for this plan are the responsibility of the retiring executive.,simple,HR_Policy_Procedures.pdf
