question,answer,tokens_present,document
What is the name of the department that produced the annual report?,The name of the department that produced the annual report is the Department of Home Affairs.,['Department of Home Affairs'],SA_Home_Affairs.pdf
What is the vision of the Department of Home Affairs?,"The vision of the Department of Home Affairs is to ""create a secure and prosperous South Africa through the provision of efficient and effective home affairs services.""","['secure', 'prosperous', 'South Africa', 'efficient', 'effective', 'home affairs', 'services']",SA_Home_Affairs.pdf
What are the values of the Department of Home Affairs?,"The values of the Department of Home Affairs are ""accountability, Batho Pele, transparency, and Ubuntu.""","['accountability', 'Batho Pele', 'transparency', 'Ubuntu']",SA_Home_Affairs.pdf
What is the name of the programme that deals with citizen affairs?,The name of the programme that deals with citizen affairs is Programme 2: Citizen Affairs.,['Programme 2: Citizen Affairs'],SA_Home_Affairs.pdf
What is the name of the programme that deals with immigration affairs?,The name of the programme that deals with immigration affairs is Programme 3: Immigration Affairs.,"['Programme 3', 'Immigration Affairs']",SA_Home_Affairs.pdf
What is the name of the programme that deals with institutional support and transfers?,The name of the programme that deals with institutional support and transfers is Programme 4: Institutional Support and Transfers.,"['Programme 4', 'Institutional Support and Transfers']",SA_Home_Affairs.pdf
How many transfer payments did the Department of Home Affairs make to public entities in the 2021/2022 financial year?,The Department of Home Affairs made 122 transfer payments to public entities in the 2021/2022 financial year.,['122'],SA_Home_Affairs.pdf
How many conditional grants did the Department of Home Affairs receive in the 2021/2022 financial year?,The Department of Home Affairs received 122 conditional grants in the 2021/2022 financial year.,['122'],SA_Home_Affairs.pdf
What is the website address of the Department of Home Affairs?,The website address of the Department of Home Affairs is [www.dha.gov.za](http://www.dha.gov.za).,['www.dha.gov.za'],SA_Home_Affairs.pdf
What does ACSA stand for?,ACSA stands for Airports Company South Africa.,"['ACSA', 'Airports', 'Company', 'South', 'Africa']",SA_Home_Affairs.pdf
What is the purpose of the AGSA?,The purpose of the AGSA is to audit and evaluate the public sector's financial statements and performance.,"['AGSA', 'audit', 'evaluate', 'financial', 'statements', 'performance']",SA_Home_Affairs.pdf
What is the role of the AU in the immigration sector?,"The AU, or African Union, plays a role in promoting regional and continental integration, including in the area of immigration.","['AU', 'African Union', 'immigration']",SA_Home_Affairs.pdf
What is the purpose of the BMA?,"The purpose of the BMA, or Border Management Authority, is to manage and control the movement of people and goods across South Africa's borders.","['BMA', 'Border Management Authority', 'South Africa', 'borders']",SA_Home_Affairs.pdf
What is the difference between BBBEE and BEC?,"BBBEE stands for Broad-based Black Economic Empowerment, which is a policy aimed at promoting economic transformation and black empowerment in South Africa. BEC, on the other hand, stands for Bid Evaluation Committee, which is responsible for evaluating bids for government contracts.","['BBBEE', 'BEC', 'Broad-based', 'Black', 'Economic', 'Empowerment', 'policy', 'South Africa', 'Bid', 'Evaluation', 'Committee', 'government', 'contracts']",SA_Home_Affairs.pdf
What is the role of the CDPSE in the immigration sector?,"The CDPSE, or Certified Data Privacy Solutions Engineer, plays a role in ensuring the privacy and security of personal data in the immigration sector.","['CDPSE', 'Certified Data Privacy Solutions Engineer', 'privacy', 'security', 'personal data', 'immigration sector']",SA_Home_Affairs.pdf
What is the purpose of the DHA's HANIS system?,"The purpose of the DHA's HANIS system is to manage and maintain the country's national identity system, including the issuance of identity documents.","['manage', 'maintain', 'issuance', 'identity', 'documents']",SA_Home_Affairs.pdf
What is the role of the DPSA in the public service?,"The DPSA, or Department of Public Service and Administration, plays a role in overseeing and coordinating the public service, including the management of human resources and the implementation of policies.","['DPSA', 'public', 'service', 'management', 'human', 'resources', 'policies']",SA_Home_Affairs.pdf
What is the purpose of the EAP?,"The purpose of the EAP, or Employee Assistance Programme, is to provide support and assistance to employees in need, including those affected by HIV/AIDS.","['EAP', 'Employee Assistance Programme', 'HIV/AIDS']",SA_Home_Affairs.pdf
What is the purpose of the MTEF?,"The purpose of the MTEF, or Medium Term Expenditure Framework, is to provide a framework for the allocation of government funds and resources over a medium-term period.","['MTEF', 'medium-term', 'government', 'funds', 'resources', 'allocation']",SA_Home_Affairs.pdf
What is the main theme of the 2021/22 Annual Report of the Department of Home Affairs?,"The main theme of the report is the department's efforts towards the realization of its vision of a South Africa where identity, status, and citizenship are key enablers of citizen empowerment and inclusivity, economic development, and national security.","['South Africa', 'citizen empowerment', 'inclusivity', 'economic development', 'national security']",SA_Home_Affairs.pdf
What is the department's constitutional mandate?,"The department's constitutional mandate is to enable socio-economic development and transformation, and to ensure that DHA enabling documents have integrity.","['enso-economic', 'development', 'transformation', 'integrity']",SA_Home_Affairs.pdf
What is the significance of the National Development Plan (NDP) and the Medium-Term Strategic Framework (MTSF) to the department?,"The NDP and MTSF are important frameworks that guide the department's mandate and priorities, and help the department to contribute to the government's overall goals.","['NDP', 'MTSF', 'department', 'mandate', 'priorities', 'government', 'goals']",SA_Home_Affairs.pdf
How did the COVID-19 pandemic affect the department's performance in the 2021/22 financial year?,"The COVID-19 pandemic had a negative impact on the department's service delivery operations and performance, particularly in the immigration services, which were severely affected by the disruption of services and capacitation of staff.","['negative', 'impact']",SA_Home_Affairs.pdf
What is the purpose of the Critical Skills List?,The purpose of the Critical Skills List is to facilitate the importation of critical skills into South Africa through a risk-based and strategic approach to immigration.,"['facilitate', 'importation', 'critical', 'skills', 'South Africa', 'immigration']",SA_Home_Affairs.pdf
What is the significance of the One-Stop Border Posts?,"The One-Stop Border Posts are important for upgrading and redevelopment of the six key land ports of entry, which will improve the efficiency and effectiveness of border management.","['One-Stop Border Posts', 'upgrading', 'redevelopment', 'six key land ports', 'efficiency', 'effectiveness', 'border management']",SA_Home_Affairs.pdf
What is the purpose of the smart ID card?,The purpose of the smart ID card is to improve the security and efficiency of identity management and to enable all eligible persons to have access to a secure and modern form of identification.,"['security', 'efficiency', 'identity management', 'modern form of identification']",SA_Home_Affairs.pdf
What is the significance of the War on Queues?,The War on Queues is a departmental initiative aimed at reducing waiting times and improving the overall customer experience in DHA offices.,"['War', 'Queues', 'departmental', 'initiative', 'aimed', 'reducing', 'waiting', 'times', 'improving', 'customer', 'experience', 'DHA', 'offices']",SA_Home_Affairs.pdf
How did the department perform in the 2021/22 financial year?,"In the 2021/22 financial year, the department achieved 69% of its APP targets, which is a slight improvement on the 68% performance of the previous year.","['69%', '68%', 'improvement']",SA_Home_Affairs.pdf
What services were not offered by the Department of Home Affairs during the 2021/2022 financial year?,"Permanent Residence Applications and Permanent Residence Appeals were not offered for most of the 2021/2022 financial year, and the Refugee Reception Offices remained closed during this period.","['Permanent Residence Applications', 'Permanent Residence Appeals', 'Refugee Reception Offices']",SA_Home_Affairs.pdf
