,question,answer,question_type,filename
0,"Who can check the ""Married filing jointly"" box at the top of Form 1040 or 1040-SR?","You can check the ""Married filing jointly"" box at the top of Form 1040 or 1040-SR if you were married at the end of 2023, even if you didn't live with your spouse at the end of 2023, your spouse died in 2023 and you didn't remarry in 2023, or you were married at the end of 2023 and your spouse died in 2024 before filing a 2023 return.",simple,IRS_Document_2.pdf
1,Can I file a joint return if my spouse doesn't have an SSN or ITIN?,"If your spouse doesn't have an SSN or ITIN, you can still file a joint return. Enter ""NRA"" in the entry space below the filing status checkboxes for your spouse's SSN or ITIN.",simple,IRS_Document_2.pdf
2,Can I file as head of household if the person I kept up a home for was born or died in 2023?,"Yes, you may still be able to file as head of household if the person was born or died in 2023, as long as you meet the other requirements.",simple,IRS_Document_2.pdf
3,"My filing status is married filing separately, and my spouse itemizes deductions on their return. What box should I check?","You should check the ""Spouse itemizes on a separate return or you were a dual-status alien"" box.",simple,IRS_Document_2.pdf
4,How do I determine if my qualifying child qualifies me for the child tax credit or credit for other dependents?,You can determine if your qualifying child qualifies you for the child tax credit or credit for other dependents by following the steps outlined in the text.,simple,IRS_Document_2.pdf
5,"Can I claim a child as my dependent if they had gross income of $4,700 or more in 2023?","No, you cannot claim a child as your dependent if they had gross income of $4,700 or more in 2023.",simple,IRS_Document_2.pdf
6,"My spouse died in 2023 before reaching age 65. Do I still need to check the box for ""Spouse was born before January 2, 1959""?","No, if your spouse died before reaching age 65, you should not check the box.",simple,IRS_Document_2.pdf
7,What is the deadline for filing Form 1040 or 1040-SR for the 2023 tax year?,"The deadline for filing Form 1040 or 1040-SR for the 2023 tax year is April 15, 2024, or April 17, 2024, for residents of Maine or Massachusetts.",simple,IRS_Document_2.pdf
8,Who qualifies for an automatic extension of time to file without filing Form 4868?,"U.S. citizens or resident aliens who live outside the United States and Puerto Rico and have their main place of business or post of duty outside the United States and Puerto Rico, or those who are in military or naval service on duty outside the United States and Puerto Rico, qualify for an automatic extension of time to file without filing Form 4868.",simple,IRS_Document_2.pdf
9,Can I file a joint return if I am claimed as a dependent on someone else's return?,"Yes, you can file a joint return if you are married and your spouse is claiming you as a dependent, but only if you are filing the return to claim a refund of withheld income tax or estimated tax paid.",simple,IRS_Document_2.pdf
10,Does the child have to live with me for the entire year to be considered a qualifying child?,"No, the child only needs to have lived with you for more than half of the part of the year that they were alive.",simple,IRS_Document_2.pdf
11,Can I use an Individual Taxpayer Identification Number (ITIN) instead of an SSN?,"If you are a nonresident or resident alien and you don't have and aren't eligible to get an SSN, you must apply for an ITIN. You can use your ITIN wherever your SSN is requested on your tax return. Some ITINs must be renewed.",simple,IRS_Document_2.pdf
12,What is the deadline for filing Form 1040 or 1040-SR for the 2023 tax year?,"The deadline for filing Form 1040 or 1040-SR for the 2023 tax year is April 15, 2024, or April 17, 2024, for residents of Maine or Massachusetts.",simple,IRS_Document_2.pdf
13,Can a child be claimed as a dependent on someone else's tax return?,"Yes, a child can be claimed as a dependent on someone else's tax return if they meet the conditions to be a qualifying child of that person.",simple,IRS_Document_2.pdf
14,Can a nonresident alien or dual-status alien file a joint return with their spouse?,"Generally, a nonresident alien or dual-status alien can't file a joint return with their spouse. However, if you were a nonresident alien or a dual-status alien and were married to a U.S. citizen or resident alien at the end of 2023, you can elect to be treated as a resident alien and file a joint return.",simple,IRS_Document_2.pdf
15,What is the deadline for filing Form 1040 or 1040-SR for the 2023 tax year?,"The deadline for filing Form 1040 or 1040-SR for the 2023 tax year is April 15, 2024.",simple,IRS_Document_2.pdf
16,Where can I find more information about the schedules and instructions for Form 1040 and 1040-SR?,You can find more information about the schedules and instructions for Form 1040 and 1040-SR on the IRS website at irs.gov/Form1040.,simple,IRS_Document_2.pdf
17,Do I have to file Form 8949 and Schedule D if I sold a capital asset?,"You must file Form 8949 and Schedule D if you sold a capital asset, such as a stock or bond, unless you meet certain exceptions, such as not having any capital losses and only having capital gain distributions from Form(s) 1099-DIV.",simple,IRS_Document_2.pdf
18,Can I claim a child as my dependent if I could be claimed as a dependent on someone else's return?,"No, you cannot claim a child as your dependent if you could be claimed as a dependent on someone else's return.",simple,IRS_Document_2.pdf
19,"How do I indicate that I was born before January 2, 1959, or was blind at the end of 2023?","You can check the appropriate boxes on the line labeled ""Age/Blindness"" on your tax return.",simple,IRS_Document_2.pdf
20,Can I claim the child tax credit or credit for other dependents?,"Yes, you may be able to claim the child tax credit or credit for other dependents if you have a qualifying child.",simple,IRS_Document_2.pdf
21,Can I claim a child as my dependent if they filed a joint return?,"No, you cannot claim a child as your dependent if they filed a joint return.",simple,IRS_Document_2.pdf
22,Can I file as a qualifying surviving spouse if my spouse died in 2023?,"No, you cannot file as a qualifying surviving spouse if your spouse died in 2023. Instead, see the instructions for Married Filing Jointly.",simple,IRS_Document_2.pdf
23,"Who can check the ""Single"" box at the top of Form 1040 or 1040-SR?","You can check the ""Single"" box at the top of Form 1040 or 1040-SR if you were never married, legally separated according to your state law under a decree of divorce or separate maintenance, or widowed before January 1, 2023, and didn't remarry before the end of 2023.",simple,IRS_Document_2.pdf
24,Do I need to attach Form 8962 to my tax return if I received advance payments of the premium tax credit?,"Yes, if you received advance payments of the premium tax credit, you must file a 2023 tax return and attach Form 8962. You should have received Form 1095-A from the Marketplace with information about your coverage and any advance payments.",simple,IRS_Document_2.pdf
25,How do I report the credit for qualified sick and family leave wages on my tax return?,"The credit for qualified sick and family leave wages is reported on Schedule 3, line 13c.",simple,IRS_Document_2.pdf
26,What is the Qualified Dividends and Capital Gain Tax Worksheet?,The Qualified Dividends and Capital Gain Tax Worksheet is a worksheet used to figure your tax on qualified dividends and capital gains. It is used when you don't have to file Schedule D.,simple,IRS_Document_2.pdf
27,What is the maximum amount of unearned income that a single dependent can have and still be required to file a tax return?,"The maximum amount of unearned income that a single dependent can have and still be required to file a tax return is $1,250.",simple,IRS_Document_2.pdf
28,"How do I reconcile my advance payments of the premium tax credit with my premium tax credit for the year, given that I have received Form 1095-A and need to attach it to my tax return, Form 1040, 1040-SR, or 1040-NR, and I may also have received Form 1095-C from my employer, which shows whether they offered me health insurance coverage?",You will need to complete Form 8962 to reconcile advance payments of the premium tax credit with your premium tax credit for the year.,conditional,IRS_Document_2.pdf
29,"Considering the IRS's designated private delivery services, what are the conditions under which taxpayers can use these services to file their tax returns and meet the ""timely mailing treated as timely filing/paying"" rule?","The designated private delivery services include FedEx First Overnight, FedEx Priority Overnight, FedEx Standard Overnight, FedEx 2 Day, FedEx International Next Flight Out, FedEx International Priority, FedEx International First, and FedEx International Economy. DHL Express 9:00, DHL Express 10:30, DHL Express 12:00, DHL Express Worldwide, DHL Express Envelope, DHL Import Express 10:30, DHL Import Express 12:00, and DHL Import Express Worldwide. UPS Next Day Air Early A.M., UPS Next Day Air, UPS Next Day Air Saver, UPS 2nd Day Air, UPS 2nd Day Air A.M., UPS Worldwide Express Plus, and UPS Worldwide Express.",conditional,IRS_Document_2.pdf
30,"How can one obtain documented evidence of the mailing date when using a private delivery service to submit a tax return, considering the various private delivery services designated by the IRS, such as FedEx and UPS, and the requirement for written proof of mailing for tax returns and payments?",You can get written proof of the mailing date from the private delivery service that you use to file your tax return.,conditional,IRS_Document_2.pdf
31,"What should you do if your name or social security number on your social security card is incorrect, and how will it affect your tax return?","If your name or SSN on your social security card is incorrect, you should contact the SSA as soon as possible to make sure your earnings are credited to your social security record. You can also file a Form SS-5 to correct your name or SSN.",conditional,IRS_Document_2.pdf
32,"How can taxpayers provide feedback to the IRS through the Taxpayer Advocacy Panel (TAP) to improve customer service, and what are the responsibilities of TAP?",You can provide feedback to the IRS through TAP by visiting their website at ImproveIRS.org.,conditional,IRS_Document_2.pdf
33,"How do I report credit for previously owned clean vehicles on my tax return, considering the changes in the clean vehicle credit and the introduction of the previously owned clean vehicle credit?","The credit for previously owned clean vehicles is reported on Form 8936 and Schedule 3, line 6f.",conditional,IRS_Document_2.pdf
34,"Considering the given context, what is the minimum gross income threshold for a 65-year-old individual to file a tax return when using a private delivery service, and how does it differ from the threshold for those filing jointly or as a qualifying surviving spouse?","No, you do not need to file a tax return if you are 65 or older and your gross income was less than $27,700.",conditional,IRS_Document_2.pdf
35,"What is the maximum amount of earned income that a single dependent can have and still be required to file a tax return, considering the conditions of their age, blindness, unearned income, and gross income?","The maximum amount of earned income that a single dependent can have and still be required to file a tax return is $13,850.",conditional,IRS_Document_2.pdf
36,What dual purpose do plant roots serve concerning soil nutrients and stability?,"To claim a child as a dependent on your tax return, you must complete columns (1) through (3) of the Dependents section on page 1 of Form 1040 or 1040-SR for that child.",conditional,IRS_Document_2.pdf
37,Can I take the standard deduction if I have itemized deductions?,"In most cases, your federal income tax will be less if you take the larger of your itemized deductions or standard deduction. You can take the standard deduction even if you have itemized deductions.",conditional,IRS_Document_2.pdf
