filename,question,answer,question_type
Constitution_of_the_Republic_of_Singapore.pdf,What is the name of the supreme law of Singapore?,The name of the supreme law of Singapore is the Constitution of the Republic of Singapore.,simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the purpose of the Constitution of the Republic of Singapore?,"The purpose of the Constitution of the Republic of Singapore is to establish the Republic of Singapore as a sovereign and independent nation, and to provide for the protection of the sovereignty and the fundamental liberties of its citizens.",simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the role of the President of Singapore?,"The President of Singapore is the head of state and the symbol of the nation's unity. The President is also responsible for appointing the Prime Minister and other Ministers, and for exercising certain constitutional powers and functions.",simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the role of the Cabinet in Singapore's government?,The Cabinet is responsible for the exercise of the executive authority of the Government of Singapore. The Prime Minister and other Ministers are appointed by the President and are responsible for various portfolios and ministries.,simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the significance of the Council of Presidential Advisers in Singapore's government?,The Council of Presidential Advisers is established to provide the President with advice and counsel on matters related to the exercise of the President's constitutional powers and functions. The Council is composed of members who are appointed by the President and who have expertise and experience in various fields.,simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the process for amending the Constitution of the Republic of Singapore?,"The process for amending the Constitution of the Republic of Singapore involves the introduction of a Bill in Parliament, which must be passed by a two-thirds majority vote in both the House of Representatives and the Senate. The Bill must then be assented to by the President before it becomes law.",simple
Constitution_of_the_Republic_of_Singapore.pdf,What are the fundamental liberties protected by the Constitution of the Republic of Singapore?,"The fundamental liberties protected by the Constitution of the Republic of Singapore include liberty of the person, freedom from slavery and forced labor, protection against retrospective criminal laws and repeated trials, equal protection under the law, prohibition of banishment and freedom of movement, freedom of speech, assembly and association, freedom of religion, and rights in respect of education.",simple
Constitution_of_the_Republic_of_Singapore.pdf,What is the role of the Attorney-General in Singapore's government?,The Attorney-General is the chief legal officer of the Government of Singapore and is responsible for providing legal advice and representation to the Government. The Attorney-General is also responsible for the administration of justice and the enforcement of the law.,simple
Constitution_of_the_Republic_of_Singapore.pdf,"What is the significance of the concept of the ""People's Association"" in Singapore's government?","The concept of the ""People's Association"" refers to the idea that the Government of Singapore is accountable to the people and that the people have a say in the government's policies and decisions. This is achieved through various means, such as the election of representatives to Parliament and the participation of citizens in public consultations and engagement processes.",simple
Constitution_of_the_Republic_of_Singapore.pdf,"What is the purpose of the ""Civil List"" in Singapore's government?","The ""Civil List"" refers to the list of government officials and employees who are appointed by the President and are responsible for various functions and duties in the Government of Singapore. The Civil List includes the President, the Prime Minister, other Ministers, and various public officers and employees.",simple
