question,answer,tokens_present,document
What is the name of the bank that released the 2023 Annual Report?,The name of the bank that released the 2023 Annual Report is Commonwealth Bank of Australia.,['Commonwealth Bank of Australia'],CBA_AnnualReport_2023
Who is the Chair of the Board of Directors of Commonwealth Bank of Australia?,Paul O’Malley is the Chair of the Board of Directors of Commonwealth Bank of Australia.,"[""Paul O'Malley""]",CBA_AnnualReport_2023
What is the name of the city where the registered office of Commonwealth Bank of Australia is located?,"The registered office of Commonwealth Bank of Australia is located in Sydney, Australia.","['Sydney', 'Australia']",CBA_AnnualReport_2023
Who retired as a Non-Executive Director of App Finance on 12 October 2022?,Shirish Apte,['Shirish Apte'],CBA_AnnualReport_2023
What is Paul O'Malley's background in finance and accounting?,Worked in investment banking and audit,"['Worked', 'investment', 'banking', 'and', 'audit']",CBA_AnnualReport_2023
What is Peter Harmer's current role with Lawcover Insurance Pty Limited?,Peter Harmer is a Director of Lawcover Insurance Pty Limited.,['Director'],CBA_AnnualReport_2023
Who is the Chairman of the Macfarlane Burnet Institute for Medical Research and Public Health Ltd?,Mary Padbury is the Chairman of the Macfarlane Burnet Institute for Medical Research and Public Health Ltd.,['Mary Padbury'],CBA_AnnualReport_2023
What was the increase in loan impairment expense for the financial year ended 30 June 2023?,"The increase in loan impairment expense for the financial year ended 30 June 2023 was $1,465 million.","['$1,465 million']",CBA_AnnualReport_2023
What was the cash net profit after tax including discontinued operations for the year ended 30 June 2023?,"The cash net profit after tax including discontinued operations for the year ended 30 June 2023 was $10,182 million, an increase of $474 million or 5% on the prior year.","['$10,182 million', '5%']",CBA_AnnualReport_2023
What was the increase in cash net profit after tax excluding discontinued operations for the year ended 30 June 2023?,The increase in cash net profit after tax excluding discontinued operations for the year ended 30 June 2023 was $569 million or 6%.,"['$569 million', '6%']",CBA_AnnualReport_2023
"What is the amount of shares in controlled entities held by the Bank as of June 30, 2023?","The Bank held shares in controlled entities amounting to $8,623 million as of June 30, 2023.","['$8,623 million']",CBA_AnnualReport_2023
"What is the total amount of loans to controlled entities at amortized cost as of June 30, 2023?","The total amount of loans to controlled entities at amortized cost as of June 30, 2023, was $45,377 million.","['45,377 million']",CBA_AnnualReport_2023
"What is the amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023?","The amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023, was $636 million.",['$636 million'],CBA_AnnualReport_2023
What is the purpose of the professional indemnity insurance policy issued by one of the Bank's subsidiaries to the Group's controlled entities?,"The professional indemnity insurance policy was issued to cover potential remediation of ongoing service failures to customers, inappropriate advice, and other matters.","['cover', 'potential', 'remediation', 'ongoing', 'service', 'failures', 'customers', 'inappropriate', 'advice', 'other', 'matters']",CBA_AnnualReport_2023
"What is the amount of reimbursement arrangements in place for Aligned Advice remediation with its subsidiaries as of June 30, 2023?","The amount of reimbursement arrangements in place for Aligned Advice remediation with its subsidiaries as of June 30, 2023, was $82 million.",['$82 million'],CBA_AnnualReport_2023
What is the uncertainty regarding the outcomes and total costs associated with regulatory actions and reviews that the Board is monitoring?,"The outcomes and total costs associated with regulatory actions and reviews are uncertain, and the Board continues to monitor each of these proceedings and investigations.","['uncertain', 'regulatory', 'actions', 'reviews', 'proceedings', 'investigations']",CBA_AnnualReport_2023
What is the purpose of the Dividend Reinvestment Plan (DRP) for the final dividend for the year ended 30 June 2023?,The purpose of the Dividend Reinvestment Plan (DRP) for the final dividend for the year ended 30 June 2023 is to enable shareholders to reinvest their dividends in additional shares of the Bank.,['The purpose of the Dividend Reinvestment Plan (DRP) for the final dividend for the year ended 30 June 2023 is to enable shareholders to reinvest their dividends in additional shares of the Bank.'],CBA_AnnualReport_2023
What is the purpose of the National Greenhouse and Energy Reporting (NGER) scheme?,"The purpose of the National Greenhouse and Energy Reporting (NGER) scheme is to make it mandatory for controlling corporations to report annually on greenhouse gas emissions, energy production, and energy consumption if they exceed certain threshold levels.","['mandatory', 'report', 'greenhouse', 'gas', 'emissions', 'energy', 'production', 'consumption', 'threshold', 'levels']",CBA_AnnualReport_2023
Where can further detail on the Group's disclosures related to modern slavery and human trafficking be found?,Further detail on the Group's disclosures related to modern slavery and human trafficking can be found in the Modern Slavery and Human Trafficking statement at commbank.com.au/sustainabilityreporting.,['commbank.com.au/sustainabilityreporting'],CBA_AnnualReport_2023
What is the main litigated claim against the Group as at 30 June 2023?,The main litigated claim against the Group as at 30 June 2023 is the Bankwest class action.,['Bankwest class action'],CBA_AnnualReport_2023
What is the allegation made in the shareholder class actions?,It is alleged that CBA shareholders who acquired an interest in CBA shares between 16 June 2014 and 3 August 2017 suffered losses as a result of the alleged conduct.,"['It is alleged', 'CBA shareholders', 'suffered losses', 'alleged conduct']",CBA_AnnualReport_2023
Are there any class actions related to superannuation products?,"Yes, the Group is defending three class actions in relation to superannuation products.",['Yes'],CBA_AnnualReport_2023
What is the main claim made in the first superannuation class action?,The main claim is that members that invested in cash and deposit options received lower interest rates than they could have received had CFSIL/AIL offered similar products made available in the market by another bank with comparable risk.,"['lower interest rates', 'CFSIL/AIL', 'comparable risk']",CBA_AnnualReport_2023
What is the status of the first superannuation class action?,The Court has ordered that mediation occur by 14 June 2024.,"['The Court', 'ordered', 'mediation', 'occur', 'by', '14 June 2024']",CBA_AnnualReport_2023
Is the Group subject to any other significant environmental reporting regulations under the law of the Commonwealth or a State or Territory of Australia?,"No, the Group is not subject to any other significant environmental reporting regulations under the law of the Commonwealth or a State or Territory of Australia, aside from the NGER scheme.",['No'],CBA_AnnualReport_2023
What is the name of the legislation that requires the Group to report on modern slavery and human trafficking risks in its operations and supply chain?,The Modern Slavery Act 2018 (Cth).,['The Modern Slavery Act 2018 (Cth)'],CBA_AnnualReport_2023
Who retired as Chair of the People & Remuneration Committee effective 10 August 2022?,Paul O’Malley retired as Chair of the People & Remuneration Committee effective 10 August 2022.,"[""Paul O'Malley"", 'retired', 'Chair', 'People & Remuneration Committee', 'effective', '10 August 2022']",CBA_AnnualReport_2023
