question,answer,tokens_present,document
What is the purpose of maintaining records in a bank?,"The purpose of maintaining records in a bank is to have a reference for various purposes like verification by internal auditors, inspectors, officials, and external statutory bodies like RBI, SEBI, etc. Records are also required for verifying old transactions, processes, or events, and in case of any complaint or information sought by any citizen of India under RTI Act.","['maintaining', 'records', 'bank', 'verification', 'internal', 'auditors', 'inspectors', 'officials', 'external', 'statutory', 'bodies', 'RTI', 'Act']",Policy_Document.pdf
What are the general guidelines for handling and retaining records in a bank?,"The general guidelines for handling and retaining records in a bank include serially entering all books and registers in a register of current-cum-old records, with separate openings for each section. The serial number and section number must be indicated on the cover of each book or file for easy identification. Employees handling records must be responsible for their custody during the day time, while overnight, all current records must remain under lock and key in the custody of the respective section in-charge.","['serially', 'separate', 'easy', 'custody', 'overnight', 'lock', 'key', 'custody', 'respective', 'in-charge']",Policy_Document.pdf
What is the procedure for transferring old records to a record room or warehouse?,"The procedure for transferring old records to a record room or warehouse includes intimating the concerned zonal office that the records are ready for transfer/shifting, entering the request in the Old Record Control Register, and sending a photocopy of the perforated sheets duly marked with the Zone Control Number to the concerned Record Room/Warehouse.","['intimating', 'entering', 'sending']",Policy_Document.pdf
How should records be kept to protect them against fire hazards?,"Records should be kept in a manner that prevents them from deteriorating and are easily traceable for reference. Books and files must be handled carefully to keep them intact, and loose pages must be immediately replaced in the proper order. Important records should be kept in a strong room overnight, and in case of inadequacy of space, they may be kept in fire-resistant steel cabinets outside the strong room.","['Records', 'should', 'kept', 'manner', 'prevents', 'deteriorating', 'traceable', 'reference', 'books', 'files', 'handled', 'carefully', 'intact', 'loose', 'pages', 'immediately', 'replaced', 'proper', 'order', 'important', 'records', 'strong', 'room', 'overnight', 'inadequacy', 'space', 'fire-resistant', 'steel', 'cabinets', 'outside', 'strong', 'room']",Policy_Document.pdf
What documents should be kept in the strong room overnight?,"Documents that should be kept in the strong room overnight include account opening forms, locked loose leaf binders of specimen signatures, articles in safe custody, and records pertaining to articles in safe custody, G.P. Notes, Shares, etc.","['account opening forms', 'locked loose leaf binders', 'articles in safe custody', 'records pertaining to articles in safe custody', 'G.P. Notes', 'Shares', 'etc']",Policy_Document.pdf
"What should be done with loan documents, securities, papers, ledgers, etc.?","Loan documents, securities, papers, ledgers, etc. should be kept in safe receptacles.","['should', 'be', 'kept', 'in', 'safe', 'receptacles']",Policy_Document.pdf
What is the purpose of earmarking space for a Record Section in branches?,"The purpose of earmarking space for a Record Section in branches is to have a dedicated area for storing and handling records, which helps in maintaining their confidentiality and easy accessibility.","['dedicated', 'area', 'storing', 'handling', 'records', 'confidentiality', 'accessibility']",Policy_Document.pdf
Can branches have a Record Room by acquiring space on rent?,"Yes, branches can have a Record Room by acquiring sufficient space on rent after examining the space available vis-a-vis business growth at such branches.",['Yes'],Policy_Document.pdf
What should be done with records that are no longer required?,Records that are no longer required should be disposed of as per the bank's record retention policy.,"['dispose of', 'record retention policy']",Policy_Document.pdf
Who is responsible for the custody of records during the day time?,Employees handling records are responsible for their custody during the day time.,"['Employees', 'handling', 'records', 'responsible', 'custody', 'day', 'time']",Policy_Document.pdf
What should be done with the locked loose leaf binder of specimen signatures?,The locked loose leaf binder of specimen signatures must be placed in the strong room.,"['must', 'placed', 'strong', 'room']",Policy_Document.pdf
Where should articles in safe custody be kept?,Articles in safe custody must be kept in the strong room.,['strong room'],Policy_Document.pdf
