filename,question,answer,question_type
AI-Act-FullText.pdf,What is the role of the European Declaration on Digital Rights and Principles for the Digital Decade and the Ethics Guidelines for Trustworthy Artificial Intelligence in shaping the Union's approach to artificial intelligence?,"The European Declaration on Digital Rights and Principles for the Digital Decade and the Ethics Guidelines for Trustworthy Artificial Intelligence provide important guidance for the development of a Union legal framework on artificial intelligence that is consistent with Union values and fundamental rights, and that promotes a human-centric approach to AI.",simple
AI-Act-FullText.pdf,What is the role of the provider or deployer of AI systems in ensuring compliance with the prohibition on manipulative and exploitative AI practices?,"The provider or deployer of AI systems has the responsibility to ensure that their systems are not used in a way that violates the prohibition on manipulative and exploitative AI practices. They must take appropriate steps to mitigate any potential harm that may result from the use of their systems and ensure that their systems are designed and used in a way that respects individuals' autonomy, decision-making, and free choices.",simple
AI-Act-FullText.pdf,What is the purpose of smart solutions for file handling in the context of Regulation (EU) 2017/745?,"Smart solutions for file handling are used to automate various functions such as indexing, searching, text and speech processing, or linking data to",simple
AI-Act-FullText.pdf,What is the threshold for the custodial sentence or detention order in accordance with national law for using 'real-time' remote biometric identification systems?,The threshold is that the offense should be serious enough to potentially justify the use of 'real-time' remote biometric identification systems.,simple
AI-Act-FullText.pdf,"What is the purpose of Article 4(4) of Regulation (EU) 2016/679, Article 3(4) of Directive (EU) 2016/680, and Article 3(5) of Regulation 2018/1725?",These articles define profiling and its relationship to the processing of personal data.,simple
AI-Act-FullText.pdf,"What is the relationship between Regulation (EU) 2017/745 and Directive 2001/83/EC, Regulation (EC) No 178/2002, and Regulation (EC) No 1223/2009?","Regulation (EU) 2017/745 amends Directive 2001/83/EC, Regulation (EC) No 178/2002, and Regulation (EC) No 1223/2009.",simple
AI-Act-FullText.pdf,Can the use of 'real-time' remote biometric identification systems in publicly accessible spaces for law enforcement be deployed to identify a person who refuses to be identified or is unable to state or prove his or her identity?,"Yes, law enforcement, border control, immigration or asylum authorities should be able to use information systems, in accordance with Union or national law, to identify a person who, during an identity check, either refuses to be identified or is unable to state or prove his or her identity, without being required by this Regulation to obtain prior authorization.",simple
AI-Act-FullText.pdf,"What is the purpose of Regulation (EU) 2019/2144 of the European Parliament and of the Council, in relation to AI systems?","Regulation (EU) 2019/2144 classifies AI systems as high-risk if they are safety components of products or are themselves products that fall within the scope of certain Union harmonization legislation, and requires that they undergo a third-party conformity assessment procedure.",simple
AI-Act-FullText.pdf,What is the purpose of delegated acts in Regulation (EU) 2017/745?,"Delegated acts in Regulation (EU) 2017/745 are used to adopt amendments to the list of high-risk AI systems, taking into account the rapid pace of technological development and potential changes in the use of AI systems.",simple
AI-Act-FullText.pdf,"What is the purpose of the European Union Aviation Safety Agency, established by Regulation (EU) 2018/1139?","The European Union Aviation Safety Agency is responsible for ensuring the safety of civil aviation in the European Union, and for promoting the highest common level of safety standards in the field of civil aviation.",simple
AI-Act-FullText.pdf,What is the purpose of Regulation (EU) 2019/2144 of the European Parliament and of the Council?,"Regulation (EU) 2019/2144 sets type-approval requirements for motor vehicles and their trailers, as well as systems, components, and separate technical units intended for such vehicles, with regards to their general safety and the protection of vehicle occupants and vulnerable road users. It also amends Regulation (EU) 2018/858 and repeals Regulations (EC) No 78/2009, (EC) No 79/2009, and (EC) No 661/2009.",simple
AI-Act-FullText.pdf,What is the purpose of Directive (EU) 2016/797 of the European Parliament and of the Council?,"Directive (EU) 2016/797 aims to improve the interoperability of the rail system within the European Union by establishing common rules for the design, construction, and operation of the rail system, as well as for the certification and recognition of railway vehicles and their components.",simple
AI-Act-FullText.pdf,What is the purpose of Regulation (EU) 2018/1139 of the European Parliament and of the Council?,"Regulation (EU) 2018/1139 establishes common rules in the field of civil aviation and sets up a European Union Aviation Safety Agency, while also amending several other regulations related to aviation safety.",simple
AI-Act-FullText.pdf,How does the prohibition on AI systems for social scoring and 'real-time' remote biometric identification contribute to the protection of human rights?,The prohibition on AI systems for social scoring and 'real-time' remote biometric identification contributes to the protection of human rights by preventing potential discriminatory outcomes and ensuring that individuals are not subjected to unfair or unjustified treatment.,simple
AI-Act-FullText.pdf,"Can AI systems be used to deduce or infer an individual's political opinions, trade union membership, religious or philosophical beliefs, race, sex life or sexual orientation?","No, biometric categorization systems that are based on individuals' biometric data, such as an individual's face or fingerprint, to deduce or infer an individual's political opinions, trade union membership, religious or philosophical beliefs, race, sex life or sexual orientation should be prohibited.",simple
AI-Act-FullText.pdf,What is the purpose of Regulation (EU) 2018/858 of the European Parliament and of the Council?,"Regulation (EU) 2018/858 sets out requirements for the approval and market surveillance of motor vehicles and their trailers, as well as systems, components, and separate technical units intended for such vehicles, with regards to their conformity assessment, type-approval, and market surveillance.",simple
AI-Act-FullText.pdf,What is the difference between the classification of an AI system as high-risk under Regulation (EU) 2019/2144 and the classification of a product as high-risk under relevant Union harmonization legislation?,"The classification of an AI system as high-risk under Regulation (EU) 2019/2144 does not necessarily mean that the product whose safety component is the AI system, or the AI system itself as a product, is considered ‘high-risk’ under the criteria established in the relevant Union harmonization legislation that applies to the product.",simple
AI-Act-FullText.pdf,What is the significance of Annex III in Regulation (EU) 2017/745?,"Annex III of Regulation (EU) 2017/745 lists the areas in which AI systems are considered to pose significant risks of harm to the health, safety, or fundamental rights of natural persons.",simple
AI-Act-FullText.pdf,Are AI systems placed on the market or put into service for both excluded and non-excluded purposes subject to the Regulation?,"Yes, AI systems placed on the market or put into service for both excluded and non-excluded purposes are subject to the Regulation. Providers of these systems must ensure compliance with the Regulation.",simple
AI-Act-FullText.pdf,What is the threshold for the custodial sentence or detention order for the use of 'real-time' remote biometric identification systems to be justified?,"The threshold for the custodial sentence or detention order is at least four years, as defined in the law of the Member State concerned.",simple
AI-Act-FullText.pdf,How does the use of AI systems for 'real-time' remote biometric identification impact the exercise of fundamental rights?,"The use of AI systems for 'real-time' remote biometric identification may indirectly dissuade the exercise of fundamental rights such as the freedom of assembly and other rights, as individuals may feel that they are being constantly monitored and surveilled.",simple
AI-Act-FullText.pdf,"What is the purpose of Annex IIa, which lists the criminal offenses for which the use of 'real-time' remote biometric identification systems is permitted?","Annex IIa lists the criminal offenses for which the use of 'real-time' remote biometric identification systems is permitted, provided that the use is strictly necessary to achieve a substantial public interest and the importance of which outweighs the risks. This ensures that the use of such systems is limited to serious",simple
AI-Act-FullText.pdf,Can the use of AI systems for manipulative or exploitative purposes be justified in certain circumstances?,"No, the use of AI systems for manipulative or exploitative purposes cannot be justified in any circumstances. The prohibition on such practices is absolute, and any attempt to justify their use would be in violation of Union values and fundamental rights.",simple
AI-Act-FullText.pdf,What are the exceptions to the prohibition on using AI systems for 'real-time' remote biometric identification for law enforcement purposes?,"The use of AI systems for 'real-time' remote biometric identification for law enforcement purposes should be prohibited, except in exhaustively listed and narrowly defined situations, where the use is strictly necessary to achieve a substantial public interest, the importance of which outweighs the risks. Such situations include the search for certain victims of crime, certain threats to the life or physical safety of natural persons, or the localization or identification of perpetrators or suspects of certain criminal offenses punishable by a custodial sentence or detention order of at least four years.",simple
AI-Act-FullText.pdf,What is the issue with using AI systems for 'real-time' remote biometric identification of natural persons in publicly accessible spaces for the purpose of law enforcement?,"The use of AI systems for 'real-time' remote biometric identification of natural persons in publicly accessible spaces for the purpose of law enforcement is particularly intrusive to the rights and freedoms of the concerned persons, and may affect the private life of a large part of the population, evoke a feeling of constant surveillance, and indirectly dissuade the exercise of the freedom of assembly and other fundamental rights.",simple
AI-Act-FullText.pdf,What is the concern with AI systems that create or expand facial recognition databases through untargeted scraping of facial images from the internet or CCTV footage?,"The concern is that this practice adds to the feeling of mass surveillance and can lead to gross violations of fundamental rights, including the right to privacy.",simple
AI-Act-FullText.pdf,What is the scope of the authorization for the use of 'real-time' remote biometric identification systems in publicly accessible spaces for law enforcement?,"The authorization for the use of 'real-time' remote biometric identification systems in publicly accessible spaces for law enforcement should be limited to what is strictly necessary concerning the period of time as well as geographic and personal scope, having regard in particular to the evidence or indications regarding the threats, the victims, or perpetrator.",simple
AI-Act-FullText.pdf,Can the use of remote biometric identification systems and emotion recognition systems be circumvented by providing minor delays?,"No, the use of remote biometric identification systems and emotion recognition systems cannot be circumvented by providing minor delays. The Regulation aims to regulate the use of these systems in order to protect the fundamental rights of natural persons, and minor delays would not significantly affect the impact of these systems on fundamental rights.",simple
AI-Act-FullText.pdf,What is the purpose of the prohibition on risk assessments of natural persons based on profiling or personality traits?,"The purpose of the prohibition is to prevent the potential for mass surveillance and gross violations of fundamental rights, including the right to privacy.",simple
AI-Act-FullText.pdf,What are some potential biases and discriminatory effects of using AI systems for remote biometric identification?,"Technical inaccuracies of AI systems intended for the remote biometric identification of natural persons can lead to biased results and entail discriminatory effects, particularly when it comes to age, ethnicity, race, sex, or disabilities.",simple
AI-Act-FullText.pdf,What are the seven non-binding ethical principles for AI developed by the independent High-Level Expert Group on AI (HLEG)?,"The seven principles include human agency and oversight, technical robustness and safety, privacy and data governance, transparency, diversity, non-discrimination and fairness, societal and environmental well-being, and accountability.",simple
AI-Act-FullText.pdf,"Why are AI systems used for military, defence, or national security purposes excluded from the scope of the Regulation?","AI systems used for military, defence, or national security purposes are excluded from the scope of the Regulation because they are subject to public international law and are outside the scope of the Regulation's legal framework.",simple
AI-Act-FullText.pdf,How can providers of products containing high-risk AI systems ensure compliance with all applicable Union harmonization legislation while minimizing potential restrictions to international trade?,Providers can use a flexibility on operational decisions on how to ensure compliance of a product that contains one or more artificial intelligence systems with all applicable requirements of the Union harmonised legislation in a best way.,conditional
