question,answer,question_type,filename
What was the impact of the government's measures to tighten foreign worker policy on the growth of the non-resident workforce in Singapore?,"The growth of the non-resident workforce in Singapore plateaued in the mid-2010s, rising from 1.044 million workers in 2009 to around 1.415 million in 2016, while assimilation into the resident workforce slowed down significantly.",simple,Immigration_in_Singapore.pdf
What is the name of the framework that regulates the hiring of low-skilled and medium-skilled temporary foreign workers in Singapore?,The framework that regulates the hiring of low-skilled and medium-skilled temporary foreign workers in Singapore is known as the Work Permit (WP) and S Pass scheme.,simple,Immigration_in_Singapore.pdf
What is the difference between high-skilled migrants and low-skilled migrants in Singapore's immigration policy?,"High-skilled migrants are targeted for long-term selective assimilation into Singapore's upper tier of the skills and earnings distribution, while low-skilled migrants are characterized by transience and the absence of pathways to assimilation.",simple,Immigration_in_Singapore.pdf
What changed in the mid-1990s regarding the government's policy on high-skilled migrants?,"In the mid-1990s, the government began developing policies to attract and assimilate large numbers of high-skilled migrants.",simple,Immigration_in_Singapore.pdf
How did the government's measures to tighten foreign worker policy affect the number of new citizen and permanent resident grants?,"The government's measures to tighten foreign worker policy resulted in a significant decrease in the number of new citizen and permanent resident grants, slowing down to an average of about 20,000 and 30,000 per year, respectively.",simple,Immigration_in_Singapore.pdf
"What was the percentage of non-citizen, non-resident workers in Singapore's labor force at independence?",3.18%,simple,Immigration_in_Singapore.pdf
How has immigration policy been used as a tool for economic growth in Singapore?,"Immigration policy has been used as a tool for economic growth in Singapore by relieving labor force constraints across all parts of the skill distribution, allowing for rapid expansion of the labor force during booms and moderating the impact of busts on resident employment through selective attrition of the foreign workforce.",simple,Immigration_in_Singapore.pdf
What is the concern raised in Parliament about the longer-term social effects of having large numbers of “Non-Traditional Source” workers in Singapore?,The concern raised in Parliament is that the presence of large numbers of “Non-Traditional Source” workers in Singapore for extended periods may have negative social effects on the society.,simple,Immigration_in_Singapore.pdf
What is the percentage of low-skilled migrants in Singapore's foreign workforce according to Figure 3?,"According to Figure 3, low-skilled migrants in the form of Work Permit (WP) holders comprise around 50% of Singapore's foreign workforce.",simple,Immigration_in_Singapore.pdf
What was the trend in the proportion of foreign-born population in Singapore from 1960 to the 1990s?,The proportion of foreign-born population in Singapore gradually declined and plateaued from 1960 to the 1990s.,simple,Immigration_in_Singapore.pdf
What are the requirements for employers who wish to hire an FDW in Singapore?,"Employers must be 21 years and above and be financially solvent. They are also required to pay a monthly levy, with concessionary rates available to older employers as well as those with disabilities, as well as employers residing with young children, older parents/grandparents, and/or disabled family members.",simple,Immigration_in_Singapore.pdf
What was the aim of the Government in Singapore in regards to foreign workers in the construction workforce by 1991?,"The aim of the Government in Singapore was to phase out foreign workers in the construction workforce by 1991, as stated by Mr. Lee Yock Suan, the Minister of State for National Development.",simple,Immigration_in_Singapore.pdf
What has the Singapore government done to manage the short-term flow of labor in response to economic cycles and other events?,"The Singapore government has actively used both the foreign worker levy and the dependency ratio ceiling to achieve longer-term policy aims, as well as to manage the short-term flow of labor in response to economic cycles and other events.",simple,Immigration_in_Singapore.pdf
What is the percentage of foreign domestic helpers in Singapore's foreign workforce from 2009 to 2021?,Foreign domestic helpers accounted for around 15% to 20% of Singapore's foreign workforce from 2009 to 2021.,simple,Immigration_in_Singapore.pdf
"What was the view of the Minister of Labor of Singapore, Jek Yeun Thong, on work permits for non-citizens?","According to the text, the Minister of Labor of Singapore, Jek Yeun Thong, declared that work permits would be freely issued to non-citizens who have special training, skills, and qualifications, as they would be welcome in Singapore.",simple,Immigration_in_Singapore.pdf
What are the requirements for foreign domestic workers (FDWs) in Singapore?,"FDWs must be female, between the ages of 23 to 50, have a minimum of 8 years of formal education, and be from an approved source country or region. They must also meet age, nationality, and education requirements to quality for a Work Permit.",simple,Immigration_in_Singapore.pdf
What has been the primary driver of immigration policy in Singapore throughout its history?,"The primary driver of immigration policy in Singapore has been the need to address labor force constraints, particularly at the medium- and high-skilled end, where migrants bring capabilities that are relatively scarce in the resident population.",simple,Immigration_in_Singapore.pdf
How has the history of immigration in Singapore influenced its current immigration policy?,"The history of immigration in Singapore has influenced its current immigration policy by shaping changes in immigration policy that are primarily focused on relieving labor force constraints, at the medium- and high-skilled end, where migrants are valued for bringing capabilities relatively scarce in the resident population, and at the low-skilled end, where migrants are sought after for their willingness to accept work that Singaporean citizens prefer to avoid.",simple,Immigration_in_Singapore.pdf
What is the assumption regarding the majority of those granted permanent resident status in Singapore?,"It is assumed that the majority of those granted permanent resident status are selected from the high-skilled, economically active migrant worker population.",simple,Immigration_in_Singapore.pdf
What is the relationship between immigration policy and labor force constraints in Singapore?,"Immigration policy has been used to relieve labor force constraints in Singapore, particularly at the medium- and high-skilled end, where migrants bring capabilities that are relatively scarce in the resident population, and at the low-skilled end, where migrants are sought after for their willingness to accept work that Singaporean citizens prefer to avoid.",simple,Immigration_in_Singapore.pdf
What is the role of temporary foreign workers in Singapore's immigration policy?,"Temporary foreign workers play a crucial role in Singapore's immigration policy, as they are sought after for their willingness to accept work that Singaporean citizens prefer to avoid.",simple,Immigration_in_Singapore.pdf
What was the reason for the decline in the proportion of foreign-born population in Singapore during the period?,The decline was due to the lack of any explicit policy of assimilation and policy ambivalence toward foreign workers.,simple,Immigration_in_Singapore.pdf
