filename,question,answer,question_type
Risk Management Policy.pdf,What is the purpose of the Risk Management Policy?,"The purpose of the Risk Management Policy is to provide a framework for identifying, assessing, and managing risks that could impact the University's ability to achieve its objectives.",simple
Risk Management Policy.pdf,Who is responsible for ensuring that the Policy is implemented and monitored?,"The Governing Authority is responsible for ensuring that the Policy is implemented and monitored, and has established an Audit & Risk Committee to provide necessary assurance and expertise.",simple
Risk Management Policy.pdf,What are the benefits of Risk Management?,"The benefits of Risk Management include increased transparency, support for management decisions, competitive advantage, improved public accountability, increased quality and efficiency, immediate risk prioritization, and a positive attitude to implementing risk controls.",simple
Risk Management Policy.pdf,What is the scope of the Policy?,The Policy applies to all employees of the University and covers all risks that could impact the University's ability to achieve its objectives.,simple
Risk Management Policy.pdf,What are the key components of the Risk Management Framework?,"The Risk Management Framework includes Risk Identification and Assessment, Risk Monitoring and Reporting, Risk Appetite, and Management of Risk.",simple
Risk Management Policy.pdf,What is Risk Appetite?,Risk Appetite refers to the level of risk that the University is willing to accept in pursuit of its objectives.,simple
Risk Management Policy.pdf,How often should the Risk Management Process be reviewed?,The Risk Management Process should be reviewed at least once during the term of office of the Governing Authority.,simple
Risk Management Policy.pdf,What is the role of the Audit & Risk Committee in Risk Management?,The Audit & Risk Committee is responsible for providing necessary assurance to the Governing Authority that the Risk Management process is effective and efficient.,simple
Risk Management Policy.pdf,What is the procedure for identifying and managing risks?,"The procedure for identifying and managing risks includes Risk Identification, Risk Assessment, Risk Monitoring and Reporting, and Risk Treatment.",simple
Risk Management Policy.pdf,What is the purpose of Risk Assessment?,The purpose of Risk Assessment is to evaluate the likelihood and impact of identified risks and to determine the appropriate level of risk treatment.,simple
Risk Management Policy.pdf,What is the purpose of the Risk Register Template?,"The purpose of the Risk Register Template is to record and manage risks in a structured format, providing a clear overview of the risks facing the University and the controls in place to mitigate them.",simple
Risk Management Policy.pdf,What are the four risk categories in the Risk Register Template?,"The four risk categories in the Risk Register Template are Strategic, Reputational, Operational, and Financial.",simple
Risk Management Policy.pdf,How does the University of Limerick's Risk Management Framework ensure the implementation and monitoring of its Policy?,"The Governing Authority has overall responsibility for the management of risk within the University, and the various individuals/committees responsible for the implementation and monitoring of this Policy are set out in detail in Section 4.4. Additionally, the Corporate Secretary of the University has overall responsibility for ensuring that processes and procedures are in place to enable implementation and monitoring of this Policy.",conditional
Risk Management Policy.pdf,"What dual role does the University's Risk Management Framework serve regarding risk identification and assessment, and who is responsible for its implementation and monitoring?","The University’s Risk Management Framework is composed of four components: Risk Identification and Assessment, Risk Monitoring and Reporting, Risk Appetite, and Management of Risk.",conditional
Risk Management Policy.pdf,What is the dual nature of risk concerning the University's objectives and how is it managed?,"Risk is defined as the University not benefiting from opportunities available, suffering damage or disadvantage, or not achieving its objectives due to an internal or external event.",conditional
Risk Management Policy.pdf,"What are the various levels of responsibility for implementing and monitoring the University's risk management policy, and who is accountable for managing specific risks?","The Policy identifies four categories of risks: Strategic Risks, Operational Risks, Financial Risks, and Reputational Risks.",conditional
Risk Management Policy.pdf,"What is the process of determining what can happen, why, and how within the University of Limerick's risk management framework, and who is responsible for its implementation and monitoring?","The process of determining what can happen, why and how is known as risk identification.",conditional
Risk Management Policy.pdf,"What is the systematic process used by the University to assess and prioritize potential risks, and who is responsible for its implementation and monitoring?",The systematic use of available information to determine the likelihood of specific events occurring and the magnitude of their consequences/impact on the University is known as risk analysis.,conditional
Risk Management Policy.pdf,"What is the process of assessing and prioritizing risks based on their likelihood of occurrence and resulting impact should they materialize, and who is responsible for ensuring its implementation and monitoring, as per the University's Risk Management Framework?",The process of assessing and prioritizing risks based on their likelihood of occurrence and resulting impact should they materialize is known as risk assessment.,conditional
Risk Management Policy.pdf,"What is the purpose of a risk register, and how does it relate to the University's overall risk management framework?","A risk register is a risk recording and monitoring tool for the management of identified risks of the University. Its purpose is to provide a hierarchical entity for the management of risks, with the University’s Fundamental Risk Register (FRR) being informed by the risks identified and assessed in local risk registers (LRR) put in place by Faculties and Administrative Units.",conditional
Risk Management Policy.pdf,"Who is responsible for managing and monitoring a particular risk, and how are they held accountable for it?",A Risk Owner (RO) is a person who has been given the authority to manage a particular risk and is accountable to their line manager for doing so.,conditional
Risk Management Policy.pdf,"What is the dual role of the Primary Register Owner (PRO) in managing risks for the University of Limerick, and how do they ensure effective risk management implementation and monitoring across different levels and departments?","The Primary Register Owner (PRO) is the Division Director/Dean who has overall responsibility for the implementation and embedding of the risk management framework and the ongoing development and monitoring of their LRR. The PRO is required to report to the Operations Sub Committee, Executive Committee and the Governing Authority Audit & Risk Committee as required.",conditional
